code,name
0001,総合
0161,生鮮食品を除く総合
0163,持家の帰属家賃を除く総合
0166,持家の帰属家賃及び生鮮食品を除く総合
0178,生鮮食品及びエネルギーを除く総合
0168,食料（酒類を除く）及びエネルギーを除く総合
0002,食料
0157,生鮮食品
0172,生鮮食品を除く食料
0003,穀類
0008,魚介類
0009,生鮮魚介
0013,肉類
0016,乳卵類
0021,野菜・海藻
0022,生鮮野菜
0027,果物
0028,生鮮果物
0030,油脂・調味料
0033,菓子類
0034,調理食品
0037,飲料
0041,酒類
0042,外食
0045,住居
0164,持家の帰属家賃を除く住居
0046,家賃
0165,持家の帰属家賃を除く家賃
0051,設備修繕・維持
0054,光熱・水道
0056,電気代
0057,ガス代
0058,他の光熱
0059,上下水道料
0060,家具・家事用品
0061,家庭用耐久財
0066,室内装備品
0070,寝具類
0073,家事雑貨
0077,家事用消耗品
0081,家事サービス
0082,被服及び履物
0083,衣料
0084,和服
0085,洋服
0089,シャツ・セーター・下着類
0090,シャツ・セーター類
0094,下着類
0098,履物類
0103,他の被服
0106,被服関連サービス
0107,保健医療
0108,医薬品・健康保持用摂取品
0109,保健医療用品・器具
0110,保健医療サービス
0111,交通・通信
0112,交通
0113,自動車等関係費
0117,通信
0118,教育
0119,授業料等
0120,教科書・学習参考教材
0121,補習教育
0122,教養娯楽
0123,教養娯楽用耐久財
0128,教養娯楽用品
0134,書籍・他の印刷物
0138,教養娯楽サービス
0145,諸雑費
0146,理美容サービス
0147,理美容用品
0151,身の回り用品
0155,たばこ
0156,他の諸雑費
0167,エネルギー
0162,教育関係費
0173,教養娯楽関係費
0169,情報通信関係費
