official_code,existing_key,display_name,hierarchy,start_month,missing_policy,transform_type,source,classification
"0001","総合","総合","","1970-01","preserve_missing","direct","e-Stat 0004052037; 総務省統計局 消費者物価指数（2025年基準）","2025年基準品目"
"0161","生鮮食品を除く総合","生鮮食品を除く総合","","1970-01","preserve_missing","direct","e-Stat 0004052037; 総務省統計局 消費者物価指数（2025年基準）","2025年基準品目"
"0163","持家の帰属家賃を除く総合","持家の帰属家賃を除く総合","","1970-01","preserve_missing","direct","e-Stat 0004052037; 総務省統計局 消費者物価指数（2025年基準）","2025年基準品目"
"0166","持家の帰属家賃及び生鮮食品を除く総合","持家の帰属家賃及び生鮮食品を除く総合","","1970-01","preserve_missing","direct","e-Stat 0004052037; 総務省統計局 消費者物価指数（2025年基準）","2025年基準品目"
"0178","生鮮食品及びエネルギーを除く総合","生鮮食品及びエネルギーを除く総合","","1970-01","preserve_missing","direct","e-Stat 0004052037; 総務省統計局 消費者物価指数（2025年基準）","2025年基準品目"
"0168","食料（酒類を除く）及びエネルギーを除く総合","食料（酒類を除く）及びエネルギーを除く総合","","1970-01","preserve_missing","direct","e-Stat 0004052037; 総務省統計局 消費者物価指数（2025年基準）","2025年基準品目"
"0002","食料","食料","","1970-01","preserve_missing","direct","e-Stat 0004052037; 総務省統計局 消費者物価指数（2025年基準）","2025年基準品目"
"0157","生鮮食品","生鮮食品","","1970-01","preserve_missing","direct","e-Stat 0004052037; 総務省統計局 消費者物価指数（2025年基準）","2025年基準品目"
"0172","生鮮食品を除く食料","生鮮食品を除く食料","","1970-01","preserve_missing","direct","e-Stat 0004052037; 総務省統計局 消費者物価指数（2025年基準）","2025年基準品目"
"0003","穀類","穀類","","1970-01","preserve_missing","direct","e-Stat 0004052037; 総務省統計局 消費者物価指数（2025年基準）","2025年基準品目"
"0008","魚介類","魚介類","","1970-01","preserve_missing","direct","e-Stat 0004052037; 総務省統計局 消費者物価指数（2025年基準）","2025年基準品目"
"0009","生鮮魚介","生鮮魚介","","1970-01","preserve_missing","direct","e-Stat 0004052037; 総務省統計局 消費者物価指数（2025年基準）","2025年基準品目"
"0013","肉類","肉類","","1970-01","preserve_missing","direct","e-Stat 0004052037; 総務省統計局 消費者物価指数（2025年基準）","2025年基準品目"
"0016","乳卵類","乳卵類","","1970-01","preserve_missing","direct","e-Stat 0004052037; 総務省統計局 消費者物価指数（2025年基準）","2025年基準品目"
"0021","野菜・海藻","野菜・海藻","","1970-01","preserve_missing","direct","e-Stat 0004052037; 総務省統計局 消費者物価指数（2025年基準）","2025年基準品目"
"0022","生鮮野菜","生鮮野菜","","1970-01","preserve_missing","direct","e-Stat 0004052037; 総務省統計局 消費者物価指数（2025年基準）","2025年基準品目"
"0027","果物","果物","","1970-01","preserve_missing","direct","e-Stat 0004052037; 総務省統計局 消費者物価指数（2025年基準）","2025年基準品目"
"0028","生鮮果物","生鮮果物","","1970-01","preserve_missing","direct","e-Stat 0004052037; 総務省統計局 消費者物価指数（2025年基準）","2025年基準品目"
"0030","油脂・調味料","油脂・調味料","","1970-01","preserve_missing","direct","e-Stat 0004052037; 総務省統計局 消費者物価指数（2025年基準）","2025年基準品目"
"0033","菓子類","菓子類","","1970-01","preserve_missing","direct","e-Stat 0004052037; 総務省統計局 消費者物価指数（2025年基準）","2025年基準品目"
"0034","調理食品","調理食品","","1970-01","preserve_missing","direct","e-Stat 0004052037; 総務省統計局 消費者物価指数（2025年基準）","2025年基準品目"
"0037","飲料","飲料","","1970-01","preserve_missing","direct","e-Stat 0004052037; 総務省統計局 消費者物価指数（2025年基準）","2025年基準品目"
"0041","酒類","酒類","","1970-01","preserve_missing","direct","e-Stat 0004052037; 総務省統計局 消費者物価指数（2025年基準）","2025年基準品目"
"0042","外食","外食","","1970-01","preserve_missing","direct","e-Stat 0004052037; 総務省統計局 消費者物価指数（2025年基準）","2025年基準品目"
"0045","住居","住居","","1970-01","preserve_missing","direct","e-Stat 0004052037; 総務省統計局 消費者物価指数（2025年基準）","2025年基準品目"
"0164","持家の帰属家賃を除く住居","持家の帰属家賃を除く住居","","1970-01","preserve_missing","direct","e-Stat 0004052037; 総務省統計局 消費者物価指数（2025年基準）","2025年基準品目"
"0046","家賃","家賃","","1970-01","preserve_missing","direct","e-Stat 0004052037; 総務省統計局 消費者物価指数（2025年基準）","2025年基準品目"
"0165","持家の帰属家賃を除く家賃","持家の帰属家賃を除く家賃","","1970-01","preserve_missing","direct","e-Stat 0004052037; 総務省統計局 消費者物価指数（2025年基準）","2025年基準品目"
"0051","設備修繕・維持","設備修繕・維持","","1970-01","preserve_missing","direct","e-Stat 0004052037; 総務省統計局 消費者物価指数（2025年基準）","2025年基準品目"
