official_code,official_name,table_code,series_code,representative_month,representative_value
00401-01,消費支出（名目）,00401,1,2025年1月,97.9965
00401-02,食料（名目）,00401,2,2025年1月,26.6745
00401-03,住居（名目）,00401,3,2025年1月,7.1488
00401-04,光熱・水道（名目）,00401,4,2025年1月,9.1415
00401-05,家具・家事用品（名目）,00401,5,2025年1月,3.537
00401-06,被服及び履物（名目）,00401,6,2025年1月,3.2675
00401-07,保健医療（名目）,00401,7,2025年1月,4.67
00401-08,交通・通信（名目）,00401,8,2025年1月,14.8282
00401-09,教育（名目）,00401,9,2025年1月,2.4755
00401-10,教養娯楽（名目）,00401,10,2025年1月,9.6214
00401-11,その他の消費支出（名目）,00401,11,2025年1月,16.6317
00401-12,消費支出（実質）,00401,12,2025年1月,98.7868
00401-13,食料（実質）,00401,13,2025年1月,26.9439
00401-14,住居（実質）,00401,14,2025年1月,7.221
00401-15,光熱・水道（実質）,00401,15,2025年1月,8.9447
00401-16,家具・家事用品（実質）,00401,16,2025年1月,3.5945
00401-17,被服及び履物（実質）,00401,17,2025年1月,3.3308
00401-18,保健医療（実質）,00401,18,2025年1月,4.7315
00401-19,交通・通信（実質）,00401,19,2025年1月,15.0083
00401-20,教育（実質）,00401,20,2025年1月,2.4246
00401-21,教養娯楽（実質）,00401,21,2025年1月,9.858
00401-22,その他の消費支出（実質）,00401,22,2025年1月,16.7659
