official_code,official_name,source_stat_inf_id,source_variant,dashboard_key,value_type,transform,coverage_start,missing_policy,evidence
00401-01,消費支出（名目）,000040499069,基本系列・原数値・総世帯,消費支出（名目）,名目,direct,2017年1月,preserve_missing,公式Excel「総・月(原)」表コード00401・列コード1
00401-02,食料（名目）,000040499069,基本系列・原数値・総世帯,食料（名目）,名目,direct,2017年1月,preserve_missing,公式Excel「総・月(原)」表コード00401・列コード2
00401-03,住居（名目）,000040499069,基本系列・原数値・総世帯,住居（名目）,名目,direct,2017年1月,preserve_missing,公式Excel「総・月(原)」表コード00401・列コード3
00401-04,光熱・水道（名目）,000040499069,基本系列・原数値・総世帯,光熱・水道（名目）,名目,direct,2017年1月,preserve_missing,公式Excel「総・月(原)」表コード00401・列コード4
00401-05,家具・家事用品（名目）,000040499069,基本系列・原数値・総世帯,家具・家事用品（名目）,名目,direct,2017年1月,preserve_missing,公式Excel「総・月(原)」表コード00401・列コード5
00401-06,被服及び履物（名目）,000040499069,基本系列・原数値・総世帯,被服及び履物（名目）,名目,direct,2017年1月,preserve_missing,公式Excel「総・月(原)」表コード00401・列コード6
00401-07,保健医療（名目）,000040499069,基本系列・原数値・総世帯,保健医療（名目）,名目,direct,2017年1月,preserve_missing,公式Excel「総・月(原)」表コード00401・列コード7
00401-08,交通・通信（名目）,000040499069,基本系列・原数値・総世帯,交通・通信（名目）,名目,direct,2017年1月,preserve_missing,公式Excel「総・月(原)」表コード00401・列コード8
00401-09,教育（名目）,000040499069,基本系列・原数値・総世帯,教育（名目）,名目,direct,2017年1月,preserve_missing,公式Excel「総・月(原)」表コード00401・列コード9
00401-10,教養娯楽（名目）,000040499069,基本系列・原数値・総世帯,教養娯楽（名目）,名目,direct,2017年1月,preserve_missing,公式Excel「総・月(原)」表コード00401・列コード10
00401-11,その他の消費支出（名目）,000040499069,基本系列・原数値・総世帯,その他の消費支出（名目）,名目,direct,2017年1月,preserve_missing,公式Excel「総・月(原)」表コード00401・列コード11
00401-12,消費支出（実質）,000040499069,基本系列・原数値・総世帯,消費支出（実質）,実質,direct,2017年1月,preserve_missing,公式Excel「総・月(原)」表コード00401・列コード12
00401-13,食料（実質）,000040499069,基本系列・原数値・総世帯,食料（実質）,実質,direct,2017年1月,preserve_missing,公式Excel「総・月(原)」表コード00401・列コード13
00401-14,住居（実質）,000040499069,基本系列・原数値・総世帯,住居（実質）,実質,direct,2017年1月,preserve_missing,公式Excel「総・月(原)」表コード00401・列コード14
00401-15,光熱・水道（実質）,000040499069,基本系列・原数値・総世帯,光熱・水道（実質）,実質,direct,2017年1月,preserve_missing,公式Excel「総・月(原)」表コード00401・列コード15
00401-16,家具・家事用品（実質）,000040499069,基本系列・原数値・総世帯,家具・家事用品（実質）,実質,direct,2017年1月,preserve_missing,公式Excel「総・月(原)」表コード00401・列コード16
00401-17,被服及び履物（実質）,000040499069,基本系列・原数値・総世帯,被服及び履物（実質）,実質,direct,2017年1月,preserve_missing,公式Excel「総・月(原)」表コード00401・列コード17
00401-18,保健医療（実質）,000040499069,基本系列・原数値・総世帯,保健医療（実質）,実質,direct,2017年1月,preserve_missing,公式Excel「総・月(原)」表コード00401・列コード18
00401-19,交通・通信（実質）,000040499069,基本系列・原数値・総世帯,交通・通信（実質）,実質,direct,2017年1月,preserve_missing,公式Excel「総・月(原)」表コード00401・列コード19
00401-20,教育（実質）,000040499069,基本系列・原数値・総世帯,教育（実質）,実質,direct,2017年1月,preserve_missing,公式Excel「総・月(原)」表コード00401・列コード20
00401-21,教養娯楽（実質）,000040499069,基本系列・原数値・総世帯,教養娯楽（実質）,実質,direct,2017年1月,preserve_missing,公式Excel「総・月(原)」表コード00401・列コード21
00401-22,その他の消費支出（実質）,000040499069,基本系列・原数値・総世帯,その他の消費支出（実質）,実質,direct,2017年1月,preserve_missing,公式Excel「総・月(原)」表コード00401・列コード22
