時間軸コード,月,消費支出（名目）,食料（名目）,住居（名目）,光熱・水道（名目）,家具・家事用品（名目）,被服及び履物（名目）,保健医療（名目）,交通・通信（名目）,教育（名目）,教養娯楽（名目）,その他の消費支出（名目）,消費支出（実質）,食料（実質）,住居（実質）,光熱・水道（実質）,家具・家事用品（実質）,被服及び履物（実質）,保健医療（実質）,交通・通信（実質）,教育（実質）,教養娯楽（実質）,その他の消費支出（実質）
2017000101,2017年1月,95.1549,23.3393,6.0544,7.9983,3.3921,4.2682,4.0147,14.8125,2.4025,9.2614,-,110.9031,30.2322,7.0482,9.9979,4.2243,4.9745,4.3355,14.872,2.1355,11.0254,-
2017000202,2017年2月,87.3404,21.8028,6.6043,8.458,2.8078,2.7794,4.1805,14.7338,2.8487,8.8128,-,101.9141,28.389,7.6884,10.5069,3.4923,3.2206,4.5146,14.8676,2.5299,10.479,-
2017000303,2017年3月,102.9716,24.6913,7.1436,8.0591,3.3119,4.0147,4.3166,19.5346,4.0773,10.439,-,120.1536,32.2341,8.3065,9.9372,4.1764,4.5622,4.6565,19.7519,3.621,12.3247,-
2017000404,2017年4月,99.2559,23.9018,6.8886,7.4518,3.0993,3.9636,4.1775,15.9151,6.9107,10.3209,-,115.2798,31.1627,8.01,9.1098,3.8789,4.4187,4.4967,16.0112,6.1048,12.1279,-
2017000505,2017年5月,94.7461,25.1154,7.1792,6.4378,3.5508,3.9393,4.1977,15.5641,2.8619,9.9787,-,109.9142,32.745,8.3479,7.7564,4.4552,4.3916,4.5088,15.6581,2.5259,11.6847,-
2017000606,2017年6月,89.6089,23.7713,7.2479,5.7635,3.6378,3.4166,4.3575,15.1175,1.8158,9.4827,-,104.0754,31.033,8.4376,6.9273,4.5759,3.8217,4.6855,15.1934,1.6069,11.2089,-
2017000707,2017年7月,93.9087,25.1398,7.4886,5.5021,4.8094,3.8376,4.1973,16.0459,1.961,9.831,-,109.3233,32.9055,8.7178,6.6131,6.0724,4.4161,4.5083,16.0942,1.7369,11.6206,-
2017000808,2017年8月,94.8803,26.5937,6.8128,6.0947,4.0954,2.8356,4.1006,15.1324,1.7904,11.309,-,110.07,34.7176,7.9311,7.3253,5.1906,3.2934,4.33,15.2238,1.5858,13.15,-
2017000909,2017年9月,91.5359,23.9232,7.1155,5.9389,3.5114,2.9088,4.0766,15.6478,4.1644,9.3374,-,105.9443,30.9485,8.2835,7.121,4.4617,3.2355,4.3047,15.8218,3.6853,10.9982,-
2017001010,2017年10月,93.4691,24.3916,7.621,5.8887,3.5504,3.9202,4.3575,14.9109,4.5278,9.6544,-,108.1819,31.7599,8.8514,7.0523,4.4659,4.3413,4.6111,14.9708,4.0069,11.3049,-
2017001111,2017年11月,93.1511,24.3533,7.465,6.2251,3.8688,4.3507,4.5585,15.1689,2.3702,9.5745,-,107.3169,31.3832,8.6702,7.4552,4.8664,4.7968,4.8289,15.1689,2.0975,11.2245,-
2017001212,2017年12月,108.1092,32.0932,7.8718,7.5655,4.5458,4.309,4.8094,15.1487,2.2307,11.3529,-,124.1208,40.9352,9.1533,9.0496,5.7324,4.8092,5.1001,15.0883,1.9741,13.2938,-
2018000101,2018年1月,96.0508,23.9836,6.274,8.8145,3.1674,4.0169,4.3375,15.354,2.0763,9.1591,-,110.15,30.1301,7.2953,10.531,3.9892,4.66,4.6046,15.3081,1.8375,10.852,-
2018000202,2018年2月,88.3393,22.4641,6.2379,9.2562,2.7964,2.7712,4.07,15.0368,2.4529,8.8772,-,101.3065,28.3997,7.2618,11.0193,3.5398,3.2,4.316,14.9471,2.1707,10.4314,-
2018000303,2018年3月,102.3021,24.9171,7.2355,8.4045,3.5291,4.1527,4.5715,17.9234,4.2417,10.6733,-,117.724,31.945,8.4231,9.9697,4.5071,4.7189,4.853,17.7988,3.7537,12.5421,-
2018000404,2018年4月,98.5118,23.6275,7.3553,7.2323,3.4534,3.7191,4.1227,14.7593,7.556,10.0512,-,113.4928,30.566,8.5526,8.5387,4.3881,4.1415,4.3581,14.6858,6.6514,11.7833,-
2018000505,2018年5月,94.8818,25.0491,7.3732,6.593,3.4475,3.9149,4.3723,15.9153,2.9592,10.2457,-,109.1851,32.4051,8.5636,7.7111,4.3861,4.3596,4.6122,15.8047,2.6049,11.9973,-
2018000606,2018年6月,89.9229,23.7362,7.7066,5.6102,3.7906,3.4483,4.2973,14.6829,1.9784,9.3879,-,103.5978,30.8664,8.9508,6.5235,4.8227,3.8572,4.5283,14.5664,1.7431,11.0057,-
2018000707,2018年7月,94.165,25.0057,7.6384,5.5913,4.7945,3.5184,4.4343,16.1382,2.0964,9.5886,-,108.3602,32.3071,8.8818,6.5167,6.1232,4.0348,4.6726,15.9468,1.847,11.2675,-
2018000808,2018年8月,96.8561,26.5223,7.0983,6.1901,4.0507,2.7114,4.3393,16.8094,2.1725,10.8458,-,110.6927,33.8726,8.2538,7.1978,5.1866,3.1528,4.5343,16.5937,1.9141,12.4094,-
2018000909,2018年9月,92.368,24.2189,6.7923,6.1887,3.3511,2.9552,4.0966,16.1735,4.307,9.7308,-,105.4429,30.7737,7.898,7.1545,4.2962,3.2835,4.2807,16.0134,3.7947,11.3412,-
2018001010,2018年10月,98.1649,25.127,8.3136,6.1741,3.617,3.6823,4.5805,16.4098,5.0119,10.0457,-,111.6779,31.9682,9.667,7.0804,4.5959,4.0689,4.7913,16.1673,4.4158,11.6001,-
2018001111,2018年11月,95.2561,24.3424,7.7753,5.9089,3.7932,4.2336,4.6302,16.5511,2.4295,9.6016,-,108.6159,31.2082,9.0411,6.7453,4.8015,4.6677,4.8484,16.3549,2.1405,11.1387,-
2018001212,2018年12月,109.3792,31.3357,8.5881,7.056,4.6828,4.6075,4.7938,16.1055,2.4536,11.5555,-,125.2912,40.381,9.9746,8.0456,5.9052,5.1365,5.0196,16.0574,2.1617,13.4055,-
2019000101,2019年1月,97.1251,23.5352,6.8448,8.5165,3.4823,4.1538,4.3323,14.937,2.5112,9.7069,-,111.1271,30.0193,7.9591,9.6779,4.3914,4.8021,4.546,14.937,2.2125,11.3267,-
2019000202,2019年2月,90.0112,22.2712,6.5623,9.1482,2.9604,2.9199,4.1995,15.7817,2.6054,9.3301,-,102.9877,28.5528,7.6217,10.3487,3.7144,3.3717,4.4066,15.7817,2.2955,10.8113,-
2019000303,2019年3月,104.4293,24.9311,7.3231,8.361,3.574,4.1067,4.5723,19.214,4.3889,10.6229,-,119.4843,32.0452,8.5053,9.4368,4.5013,4.6614,4.7928,19.1374,3.8635,12.3666,-
2019000404,2019年4月,99.0597,24.1557,6.9205,7.3331,3.2928,3.6289,4.3356,15.7331,7.0823,10.5811,-,112.9529,31.0485,8.0192,8.2954,4.116,4.0366,4.5399,15.686,6.2017,12.1621,-
2019000505,2019年5月,98.6141,25.1322,7.969,7.1112,3.8867,3.7932,4.261,16.0751,3.5617,10.726,-,112.4449,32.2622,9.2234,8.0626,4.8222,4.224,4.4618,16.0111,3.1161,12.4,-
2019000606,2019年6月,92.8674,24.2916,7.7112,5.8666,4.0607,3.5992,4.523,15.6359,2.0867,10.0181,-,106.1342,31.1032,8.9147,6.6742,5.0759,4.026,4.7411,15.7145,1.8257,11.5817,-
2019000707,2019年7月,94.6633,25.0662,7.6647,5.4808,4.5744,3.3645,4.6135,16.1775,2.2006,10.1068,-,108.1866,32.095,8.8507,6.2637,5.7396,3.8451,4.8309,16.1775,1.9253,11.7385,-
2019000808,2019年8月,97.7094,26.9819,6.9268,5.637,4.5838,2.9084,4.671,16.6642,1.9907,11.162,-,111.4132,34.4597,7.9987,6.4718,5.7441,3.3623,4.8911,16.6476,1.7431,12.6267,-
2019000909,2019年9月,99.9964,24.8566,7.6191,5.9998,5.2638,3.3032,5.0205,17.1462,4.2588,10.8013,-,113.8912,31.4641,8.7879,6.9282,6.5715,3.6661,5.2626,17.2496,3.726,12.4583,-
2019001010,2019年10月,91.7018,23.9911,6.9162,5.7761,3.1232,3.3235,4.4016,15.4995,4.1817,9.4599,-,104.0883,30.2535,7.8414,6.6776,3.8042,3.6322,4.5707,15.407,3.9939,10.6771,-
2019001111,2019年11月,91.1041,24.3857,7.1714,5.8369,3.4865,4.0607,4.7151,15.0431,2.1547,9.7671,-,103.2927,30.7901,8.1217,6.648,4.2518,4.4186,4.9014,14.9385,2.058,11.0738,-
2019001212,2019年12月,105.557,30.8196,7.8929,6.9498,4.3456,4.133,4.8517,15.8812,2.1275,11.5055,-,119.6792,39.0122,8.9286,7.9245,5.319,4.5468,5.0591,15.7084,2.032,12.9858,-
2020000101,2020年1月,93.701,23.5081,6.9179,7.9299,3.1485,3.8929,4.3913,14.3239,2.1387,9.6694,17.7805,106.2369,29.5327,7.8345,9.0215,3.8443,4.4389,4.5695,14.0983,2.0253,11.1014,20.1593
2020000202,2020年2月,90.1584,23.2805,7.1083,8.4703,3.3143,2.7453,4.3774,15.9024,2.2655,8.729,13.9648,102.4527,29.3946,8.0411,9.6582,4.0666,3.1267,4.555,15.7139,2.1474,9.9989,15.8691
2020000303,2020年3月,95.8033,24.5865,7.0815,8.1857,3.5326,3.1243,4.4737,17.4166,3.8855,8.2891,15.2275,108.8674,31.0829,8.0198,9.3337,4.3452,3.4908,4.6456,17.2783,3.683,9.4516,17.304
2020000404,2020年4月,86.7625,22.56,7.0869,7.6567,3.1482,1.6567,4.1215,13.8405,6.9208,7.0708,12.6998,98.706,28.3062,8.0079,8.8211,3.858,1.8166,4.2888,13.9945,6.752,8.035,14.448
2020000505,2020年5月,82.1356,23.7914,6.4933,6.6565,4.105,2.4464,4.0344,12.426,2.9654,6.9101,12.3069,93.5485,29.8512,7.337,7.7132,5.0122,2.6883,4.1981,12.6025,2.9044,7.8257,14.0169
2020000606,2020年6月,90.4286,23.647,7.469,6.1518,5.4103,3.425,4.5428,14.5128,2.0244,8.1409,15.1047,103.229,29.7821,8.449,7.1532,6.5739,3.7845,4.7271,14.6743,1.9867,9.3145,17.2428
2020000707,2020年7月,87.4187,24.2734,7.1311,5.471,5.1207,2.8297,4.7002,13.5215,2.0619,8.1986,14.1103,99.6792,30.4943,8.0669,6.4063,6.2295,3.1902,4.8909,13.535,2.0175,9.4236,16.0893
2020000808,2020年8月,90.6661,25.8213,7.2542,5.7717,4.9365,2.4122,4.652,14.9139,2.1343,8.8239,13.9464,103.2644,32.1561,8.2061,6.7743,6.0349,2.7505,4.8559,14.8545,2.0904,10.2484,15.8842
2020000909,2020年9月,88.3557,24.0171,7.2057,6.0224,4.0465,2.46,4.2723,14.826,4.1748,8.292,13.0384,100.8626,30.059,8.1513,7.1271,4.9288,2.6856,4.4596,14.8409,4.085,9.7553,14.884
2020001010,2020年10月,93.8208,24.5168,8.0857,5.9529,4.0668,3.4121,4.9538,15.4929,4.6855,9.0264,13.6284,107.2238,30.7227,9.1467,7.0868,4.9057,3.7128,5.1818,15.5239,4.5846,10.6569,15.5753
2020001111,2020年11月,92.1236,24.3976,8.3306,5.9683,4.0112,3.4959,4.7317,15.6873,2.7453,8.8721,13.8831,105.6463,30.883,9.4131,7.1821,4.7981,3.7998,4.9547,15.7345,2.6888,10.5244,15.921
2020001212,2020年12月,103.4453,29.9113,8.382,6.5804,4.8839,3.719,4.7814,15.4503,2.4927,10.1546,17.0894,118.9027,38.1036,9.4819,7.9859,5.835,4.0913,5.0172,15.4657,2.4415,11.9748,19.643
2021000101,2021年1月,87.6915,22.4784,6.9473,7.7737,3.6348,2.8089,4.2219,14.461,2.2148,7.698,15.4528,100.2188,28.3103,7.7278,9.457,4.3583,3.1774,4.4301,14.4755,2.1693,8.8279,17.6604
2021000202,2021年2月,82.9803,21.9726,6.8605,8.0894,3.2842,2.2361,4.0965,13.9195,2.5309,7.3311,12.6594,94.9431,27.7782,7.6313,9.8054,3.9426,2.5266,4.2986,13.9195,2.4789,8.4362,14.4844
2021000303,2021年3月,101.0518,24.18,8.9761,8.2277,3.987,3.2978,4.6855,17.8106,4.4458,9.1657,16.2759,115.356,30.6853,9.9734,9.8771,4.7863,3.6561,4.896,17.7751,4.3543,10.4991,18.5798
2021000404,2021年4月,96.4767,23.1728,8.4287,6.9525,3.6113,3.0724,4.444,15.8083,7.4417,9.0125,14.5324,111.2765,29.4444,9.3549,8.2278,4.3301,3.3615,4.6534,16.9617,7.2109,10.2648,16.7617
2021000505,2021年5月,90.4459,24.047,7.8362,6.3139,4.0811,2.8346,4.4469,15.3503,3.3367,8.1861,14.0133,103.9608,30.4392,8.6972,7.3247,4.8876,3.1013,4.6516,16.4174,3.2301,9.2918,16.1073
2021000606,2021年6月,86.471,23.3217,7.9509,5.7585,4.3954,2.9813,4.6545,13.7806,1.9917,8.11,13.527,99.2779,29.3724,8.8245,6.6342,5.2514,3.2761,4.8739,14.7386,1.9262,9.2685,15.5304
2021000707,2021年7月,89.017,24.6781,7.6567,5.2975,4.842,2.7919,4.5806,14.8073,1.9292,8.5015,13.932,101.8502,31.1593,8.4886,6.0681,5.7575,3.1229,4.7915,15.6691,1.8657,9.5953,15.9405
2021000808,2021年8月,87.1265,24.7968,7.8005,5.8379,4.3987,2.0067,4.4524,13.649,2.0115,8.5393,13.6336,99.687,31.2303,8.648,6.6871,5.2241,2.27,4.6524,14.5667,1.9473,9.5625,15.5991
