時間軸コード,月,消費支出（名目）,食料（名目）,住居（名目）,光熱・水道（名目）,家具・家事用品（名目）,被服及び履物（名目）,保健医療（名目）,交通・通信（名目）,教育（名目）,教養娯楽（名目）,その他の消費支出（名目）,消費支出（実質）,食料（実質）,住居（実質）,光熱・水道（実質）,家具・家事用品（実質）,被服及び履物（実質）,保健医療（実質）,交通・通信（実質）,教育（実質）,教養娯楽（実質）,その他の消費支出（実質）
2017000101,2017年1月,91.0939,22.4195,5.8724,7.6798,3.2459,4.1057,3.8289,14.072,2.4139,8.8601,-,106.17,29.0408,6.8363,9.5998,4.0422,4.7852,4.1348,14.1285,2.1457,10.5478,-
2017000202,2017年2月,83.5273,20.9493,6.1707,8.122,2.7029,2.675,3.9682,14.086,2.8548,8.4042,-,97.4648,27.2777,7.1836,10.0895,3.3619,3.0997,4.2853,14.2139,2.5353,9.9931,-
2017000303,2017年3月,98.5512,23.7165,6.7528,7.7227,3.1823,3.8759,4.1172,18.5349,4.0585,9.9735,-,114.9956,30.9615,7.8521,9.5225,4.013,4.4045,4.4414,18.7411,3.6044,11.7751,-
2017000404,2017年4月,95.4007,22.9686,6.4607,7.1612,2.9576,3.8264,3.9699,15.474,6.7975,9.8792,-,110.8022,29.946,7.5124,8.7545,3.7016,4.2657,4.2734,15.5674,6.0049,11.6089,-
2017000505,2017年5月,90.9939,24.1748,6.6444,6.1997,3.4241,3.7956,4.0096,14.9975,2.8962,9.5548,-,105.5614,31.5187,7.726,7.4695,4.2963,4.2315,4.3067,15.088,2.5562,11.1882,-
2017000606,2017年6月,85.8668,22.8557,6.8215,5.547,3.5174,3.3435,4.1314,14.4235,1.8739,9.0711,-,99.7292,29.8377,7.9412,6.667,4.4244,3.7399,4.4424,14.496,1.6583,10.7224,-
2017000707,2017年7月,90.1337,24.1912,7.0429,5.2987,4.5411,3.7149,4.0057,15.4058,2.0278,9.4216,-,104.9287,31.6638,8.199,6.3686,5.7337,4.275,4.3025,15.4521,1.7961,11.1366,-
2017000808,2017年8月,90.9671,25.5865,6.3872,5.8628,3.8878,2.764,3.9325,14.472,1.8628,10.9121,-,105.5302,33.4027,7.4357,7.0467,4.9275,3.2102,4.1525,14.5594,1.65,12.6885,-
2017000909,2017年9月,87.9409,23.0167,6.649,5.712,3.3452,2.8102,3.9049,15.2733,4.0735,8.9447,-,101.7834,29.7759,7.7404,6.849,4.2506,3.1259,4.1235,15.4432,3.6049,10.5356,-
2017001010,2017年10月,89.7054,23.4664,7.1826,5.6548,3.3755,3.7846,4.1314,14.4874,4.4403,9.189,-,103.8257,30.5552,8.3422,6.7722,4.246,4.1911,4.3718,14.5456,3.9295,10.76,-
2017001111,2017年11月,89.5854,23.4218,7.0551,5.9732,3.6809,4.2032,4.3415,14.7578,2.3928,9.2251,-,103.209,30.1827,8.1941,7.1535,4.6301,4.6342,4.5991,14.7578,2.1176,10.8149,-
2017001212,2017年12月,103.9135,30.7337,7.527,7.244,4.3693,4.1786,4.574,14.5378,2.2819,10.9275,-,119.3037,39.2012,8.7523,8.6651,5.5099,4.6636,4.8504,14.4799,2.0194,12.7957,-
2018000101,2018年1月,92.1442,23.062,6.0206,8.4459,3.0858,3.9168,4.1098,14.9711,2.0607,8.8264,-,105.67,28.9723,7.0007,10.0907,3.8864,4.5439,4.3628,14.9263,1.8236,10.4579,-
2018000202,2018年2月,85.2077,21.6054,6.1559,8.8742,2.6883,2.6568,3.8769,14.7089,2.4663,8.4905,-,97.7153,27.3141,7.1664,10.5645,3.4029,3.0679,4.1113,14.6212,2.1826,9.9771,-
2018000303,2018年3月,97.7458,23.9714,6.5506,8.0925,3.3466,4.0136,4.3701,17.1254,4.1331,10.2088,-,112.4807,30.7326,7.6259,9.5997,4.274,4.5609,4.6392,17.0063,3.6576,11.9962,-
2018000404,2018年4月,94.4904,22.7464,6.8763,6.9524,3.2465,3.6355,3.8868,14.3114,7.3927,9.6328,-,108.8599,29.4261,7.9958,8.2083,4.1252,4.0485,4.1086,14.2402,6.5076,11.2928,-
2018000505,2018年5月,90.8503,24.1065,6.8389,6.3334,3.3052,3.7313,4.1705,15.28,2.9546,9.8247,-,104.5458,31.1856,7.943,7.4075,4.205,4.1551,4.3992,15.1737,2.6009,11.5043,-
2018000606,2018年6月,86.3109,22.8604,7.269,5.3793,3.6465,3.3214,4.068,14.2881,2.032,8.9324,-,99.4365,29.7275,8.4425,6.255,4.6394,3.7152,4.2867,14.1747,1.7903,10.4718,-
2018000707,2018年7月,90.3387,24.1071,7.2495,5.3684,4.5987,3.4048,4.232,15.3258,2.1278,9.3392,-,103.9571,31.1461,8.4297,6.2568,5.8732,3.9045,4.4594,15.1441,1.8747,10.9744,-
2018000808,2018年8月,93.1983,25.5469,6.7535,5.9478,3.8702,2.6483,4.1634,16.2749,2.1416,10.4818,-,106.5123,32.627,7.8529,6.916,4.9554,3.0794,4.3504,16.066,1.8868,11.9929,-
2018000909,2018年9月,88.9342,23.333,6.47,5.9606,3.2256,2.866,3.9133,15.5463,4.2317,9.4368,-,101.523,29.648,7.5233,6.8908,4.1354,3.1844,4.0891,15.3924,3.7284,10.9986,-
2018001010,2018年10月,94.1028,24.1979,7.8057,5.9372,3.473,3.5713,4.3698,15.864,4.8266,9.6533,-,107.0566,30.7862,9.0764,6.8087,4.413,3.9462,4.5709,15.6295,4.2526,11.147,-
2018001111,2018年11月,91.4902,23.4799,7.2972,5.6984,3.6487,4.1086,4.4475,16.1982,2.4077,9.218,-,104.3218,30.1025,8.4852,6.505,4.6186,4.5299,4.6571,16.0062,2.1213,10.6938,-
2018001212,2018年12月,105.2455,30.2479,8.1551,6.8293,4.5076,4.4497,4.5857,15.623,2.4303,11.1815,-,120.5561,38.9792,9.4717,7.7872,5.6842,4.9606,4.8018,15.5763,2.1413,12.9716,-
2019000101,2019年1月,93.4039,22.7461,6.581,8.2382,3.3751,4.0058,4.1263,14.4697,2.4748,9.3353,-,106.8694,29.0129,7.6523,9.3616,4.2561,4.631,4.3298,14.4697,2.1804,10.893,-
2019000202,2019年2月,87.0643,21.5941,6.2044,8.8505,2.8992,2.8048,4.0366,15.4616,2.5875,9.0293,-,99.6159,27.6848,7.206,10.0119,3.6376,3.2389,4.2357,15.4616,2.2797,10.4627,-
2019000303,2019年3月,100.805,24.1976,6.817,8.1188,3.5079,3.9861,4.4101,18.7226,4.3097,10.2274,-,115.3375,31.1023,7.9175,9.1634,4.418,4.5245,4.6228,18.648,3.7938,11.9062,-
2019000404,2019年4月,95.5452,23.4199,6.5075,7.0887,3.1953,3.5532,4.1744,15.3467,6.8527,10.1398,-,108.9455,30.1028,7.5406,8.0189,3.9941,3.9524,4.3711,15.3008,6.0006,11.655,-
2019000505,2019年5月,95.4356,24.3453,7.5117,6.9001,3.7539,3.6807,4.1161,15.7672,3.5515,10.2717,-,108.8206,31.252,8.6941,7.8232,4.6574,4.0988,4.3101,15.7044,3.1071,11.8748,-
2019000606,2019年6月,89.844,23.5319,7.4311,5.6898,3.9302,3.4861,4.3461,15.1184,2.1201,9.6939,-,102.6788,30.1305,8.5909,6.4731,4.9128,3.8994,4.5556,15.1944,1.8548,11.2068,-
2019000707,2019年7月,91.6549,24.3188,7.1548,5.3361,4.4528,3.2641,4.4327,15.952,2.218,9.7918,-,104.7484,31.138,8.2619,6.0984,5.5869,3.7304,4.6416,15.952,1.9405,11.3726,-
2019000808,2019年8月,94.4011,26.177,6.6142,5.463,4.4465,2.8335,4.4793,16.0452,2.0466,10.7427,-,107.6409,33.4317,7.6377,6.2721,5.572,3.2757,4.6904,16.0292,1.7921,12.1524,-
2019000909,2019年9月,97.0695,24.1266,7.2781,5.8333,5.1478,3.1857,4.837,16.9756,4.2203,10.3631,-,110.5575,30.54,8.3946,6.7359,6.4268,3.5358,5.0702,17.0781,3.6923,11.9529,-
2019001010,2019年10月,87.9932,23.3224,6.5496,5.6273,3.0179,3.2168,4.2327,14.3937,4.1242,9.0886,-,99.8788,29.4103,7.4258,6.5055,3.6759,3.5157,4.3953,14.3078,3.9391,10.2581,-
2019001111,2019年11月,88.2201,23.7541,6.8134,5.7252,3.3846,3.9104,4.5733,14.598,2.1932,9.383,-,100.0227,29.9926,7.7162,6.5207,4.1276,4.2551,4.754,14.4965,2.0947,10.6383,-
2019001212,2019年12月,102.176,29.9574,7.417,6.7849,4.2584,4.0034,4.7605,15.421,2.178,11.0532,-,115.8458,37.9208,8.3903,7.7365,5.2123,4.4042,4.9641,15.2532,2.0802,12.4754,-
2020000101,2020年1月,91.0559,22.844,6.7453,7.7037,3.0562,3.7818,4.268,13.8991,2.0739,9.4002,17.2833,103.238,28.6985,7.6391,8.7642,3.7316,4.3123,4.4413,13.6802,1.9639,10.7925,19.5956
2020000202,2020年2月,87.6285,22.6249,6.9379,8.2306,3.2166,2.6685,4.2562,15.4439,2.1999,8.4852,13.5655,99.5778,28.5668,7.8483,9.385,3.9467,3.0392,4.429,15.2608,2.0852,9.7196,15.4153
2020000303,2020年3月,93.1151,23.895,6.905,7.9532,3.4321,3.0347,4.3489,16.9202,3.7661,8.0577,14.802,105.8126,30.2086,7.8199,9.0687,4.2216,3.3907,4.516,16.7859,3.5698,9.1878,16.8205
2020000404,2020年4月,84.3639,21.9404,6.9021,7.4463,3.0615,1.6102,4.0121,13.4495,6.717,6.8763,12.348,95.9772,27.5287,7.799,8.5787,3.7519,1.7656,4.1749,13.5991,6.5532,7.814,14.0477
2020000505,2020年5月,79.8915,23.1425,6.3257,6.4762,3.9923,2.3778,3.9261,12.0777,2.8779,6.7221,11.9727,90.9926,29.0371,7.1477,7.5042,4.8746,2.613,4.0855,12.2492,2.8187,7.6128,13.6364
2020000606,2020年6月,88.0112,23.0173,7.2741,5.9886,5.2643,3.3322,4.4244,14.1207,1.9647,7.922,14.7029,100.4694,28.989,8.2287,6.9634,6.3965,3.682,4.604,14.2778,1.928,9.0641,16.7841
2020000707,2020年7月,85.1408,23.643,6.9448,5.3291,4.9879,2.7562,4.5798,13.1685,2.0051,7.9833,13.743,97.0818,29.7023,7.8561,6.2402,6.068,3.1074,4.7657,13.1817,1.9619,9.1762,15.6705
2020000808,2020年8月,88.3645,25.167,7.0628,5.6252,4.8129,2.351,4.5347,14.5425,2.0788,8.599,13.5905,100.643,31.3412,7.9896,6.6023,5.8837,2.6807,4.7335,14.4846,2.0361,9.9872,15.479
2020000909,2020年9月,86.1664,23.4218,7.0152,5.8732,3.9491,2.3996,4.1663,14.4691,4.0751,8.0864,12.7106,98.3635,29.3139,7.9358,6.9506,4.8101,2.6196,4.349,14.4836,3.9873,9.5134,14.5098
