period,value,series,priceMeasure
2005-Q1,71817.9,private-final-consumption-expenditure,current-prices
2005-Q2,71275.2,private-final-consumption-expenditure,current-prices
2005-Q3,72694.7,private-final-consumption-expenditure,current-prices
2005-Q4,74891.5,private-final-consumption-expenditure,current-prices
2006-Q1,72841.3,private-final-consumption-expenditure,current-prices
2006-Q2,72129,private-final-consumption-expenditure,current-prices
2006-Q3,72683.8,private-final-consumption-expenditure,current-prices
2006-Q4,75854.4,private-final-consumption-expenditure,current-prices
2007-Q1,73071.8,private-final-consumption-expenditure,current-prices
2007-Q2,72763.1,private-final-consumption-expenditure,current-prices
2007-Q3,73073.4,private-final-consumption-expenditure,current-prices
2007-Q4,75836.9,private-final-consumption-expenditure,current-prices
2008-Q1,73805,private-final-consumption-expenditure,current-prices
2008-Q2,72133.4,private-final-consumption-expenditure,current-prices
2008-Q3,73591.8,private-final-consumption-expenditure,current-prices
2008-Q4,73945.2,private-final-consumption-expenditure,current-prices
2009-Q1,71021.3,private-final-consumption-expenditure,current-prices
2009-Q2,69738.1,private-final-consumption-expenditure,current-prices
2009-Q3,70419.5,private-final-consumption-expenditure,current-prices
2009-Q4,72718.4,private-final-consumption-expenditure,current-prices
2010-Q1,70804.6,private-final-consumption-expenditure,current-prices
2010-Q2,70367.7,private-final-consumption-expenditure,current-prices
2010-Q3,72243.8,private-final-consumption-expenditure,current-prices
2010-Q4,73024.9,private-final-consumption-expenditure,current-prices
2011-Q1,69353.3,private-final-consumption-expenditure,current-prices
2011-Q2,69243.4,private-final-consumption-expenditure,current-prices
2011-Q3,71070,private-final-consumption-expenditure,current-prices
2011-Q4,73554.7,private-final-consumption-expenditure,current-prices
2012-Q1,71606.6,private-final-consumption-expenditure,current-prices
2012-Q2,70708.3,private-final-consumption-expenditure,current-prices
2012-Q3,71451.5,private-final-consumption-expenditure,current-prices
2012-Q4,73844.7,private-final-consumption-expenditure,current-prices
2013-Q1,72819.5,private-final-consumption-expenditure,current-prices
2013-Q2,72315.7,private-final-consumption-expenditure,current-prices
2013-Q3,73944,private-final-consumption-expenditure,current-prices
2013-Q4,76170.3,private-final-consumption-expenditure,current-prices
2014-Q1,75726.5,private-final-consumption-expenditure,current-prices
2014-Q2,72632.3,private-final-consumption-expenditure,current-prices
2014-Q3,74225.6,private-final-consumption-expenditure,current-prices
2014-Q4,76549.8,private-final-consumption-expenditure,current-prices
2015-Q1,74565.5,private-final-consumption-expenditure,current-prices
2015-Q2,74116.6,private-final-consumption-expenditure,current-prices
2015-Q3,75197.3,private-final-consumption-expenditure,current-prices
2015-Q4,77067.3,private-final-consumption-expenditure,current-prices
2016-Q1,74365,private-final-consumption-expenditure,current-prices
2016-Q2,73279.3,private-final-consumption-expenditure,current-prices
2016-Q3,74206,private-final-consumption-expenditure,current-prices
2016-Q4,77129.7,private-final-consumption-expenditure,current-prices
2017-Q1,74778.3,private-final-consumption-expenditure,current-prices
2017-Q2,74693.6,private-final-consumption-expenditure,current-prices
2017-Q3,75160.8,private-final-consumption-expenditure,current-prices
2017-Q4,78467.2,private-final-consumption-expenditure,current-prices
2018-Q1,75682.2,private-final-consumption-expenditure,current-prices
2018-Q2,75011,private-final-consumption-expenditure,current-prices
2018-Q3,76105.6,private-final-consumption-expenditure,current-prices
2018-Q4,79064.2,private-final-consumption-expenditure,current-prices
2019-Q1,75959.1,private-final-consumption-expenditure,current-prices
2019-Q2,75701.6,private-final-consumption-expenditure,current-prices
2019-Q3,76856.1,private-final-consumption-expenditure,current-prices
2019-Q4,77491.9,private-final-consumption-expenditure,current-prices
2020-Q1,74875.4,private-final-consumption-expenditure,current-prices
2020-Q2,68912.5,private-final-consumption-expenditure,current-prices
2020-Q3,72739,private-final-consumption-expenditure,current-prices
2020-Q4,76787.6,private-final-consumption-expenditure,current-prices
2021-Q1,73759.5,private-final-consumption-expenditure,current-prices
2021-Q2,74206.4,private-final-consumption-expenditure,current-prices
2021-Q3,74309,private-final-consumption-expenditure,current-prices
2021-Q4,79673.4,private-final-consumption-expenditure,current-prices
2022-Q1,76953.2,private-final-consumption-expenditure,current-prices
2022-Q2,78716.7,private-final-consumption-expenditure,current-prices
2022-Q3,79635.6,private-final-consumption-expenditure,current-prices
2022-Q4,83721.2,private-final-consumption-expenditure,current-prices
2023-Q1,81791.6,private-final-consumption-expenditure,current-prices
2023-Q2,81280.6,private-final-consumption-expenditure,current-prices
2023-Q3,81843.1,private-final-consumption-expenditure,current-prices
2023-Q4,85264.3,private-final-consumption-expenditure,current-prices
2024-Q1,82471.7,private-final-consumption-expenditure,current-prices
2024-Q2,82605.6,private-final-consumption-expenditure,current-prices
2024-Q3,84045,private-final-consumption-expenditure,current-prices
2024-Q4,87479.6,private-final-consumption-expenditure,current-prices
2025-Q1,86092.6,private-final-consumption-expenditure,current-prices
2025-Q2,86178.8,private-final-consumption-expenditure,current-prices
2025-Q3,87584.5,private-final-consumption-expenditure,current-prices
2025-Q4,91054.8,private-final-consumption-expenditure,current-prices
