period,value,series,priceMeasure
2005-Q1,72201.4,private-final-consumption-expenditure,previous-year-chain-linked
2005-Q2,71263.2,private-final-consumption-expenditure,previous-year-chain-linked
2005-Q3,73225.5,private-final-consumption-expenditure,previous-year-chain-linked
2005-Q4,74855.6,private-final-consumption-expenditure,previous-year-chain-linked
2006-Q1,73562.8,private-final-consumption-expenditure,previous-year-chain-linked
2006-Q2,72223.2,private-final-consumption-expenditure,previous-year-chain-linked
2006-Q3,72959.5,private-final-consumption-expenditure,previous-year-chain-linked
2006-Q4,75783.8,private-final-consumption-expenditure,previous-year-chain-linked
2007-Q1,74179,private-final-consumption-expenditure,previous-year-chain-linked
2007-Q2,73090.4,private-final-consumption-expenditure,previous-year-chain-linked
2007-Q3,73706.7,private-final-consumption-expenditure,previous-year-chain-linked
2007-Q4,75771.2,private-final-consumption-expenditure,previous-year-chain-linked
2008-Q1,74449.2,private-final-consumption-expenditure,previous-year-chain-linked
2008-Q2,71890.2,private-final-consumption-expenditure,previous-year-chain-linked
2008-Q3,73327.2,private-final-consumption-expenditure,previous-year-chain-linked
2008-Q4,73917.7,private-final-consumption-expenditure,previous-year-chain-linked
2009-Q1,72822.4,private-final-consumption-expenditure,previous-year-chain-linked
2009-Q2,70836.1,private-final-consumption-expenditure,previous-year-chain-linked
2009-Q3,72324.2,private-final-consumption-expenditure,previous-year-chain-linked
2009-Q4,74767.2,private-final-consumption-expenditure,previous-year-chain-linked
2010-Q1,73688.1,private-final-consumption-expenditure,previous-year-chain-linked
2010-Q2,72595.1,private-final-consumption-expenditure,previous-year-chain-linked
2010-Q3,75571.2,private-final-consumption-expenditure,previous-year-chain-linked
2010-Q4,75946,private-final-consumption-expenditure,previous-year-chain-linked
2011-Q1,72708.3,private-final-consumption-expenditure,previous-year-chain-linked
2011-Q2,72050.3,private-final-consumption-expenditure,previous-year-chain-linked
2011-Q3,74474.9,private-final-consumption-expenditure,previous-year-chain-linked
2011-Q4,76747.8,private-final-consumption-expenditure,previous-year-chain-linked
2012-Q1,75188.8,private-final-consumption-expenditure,previous-year-chain-linked
2012-Q2,73934.1,private-final-consumption-expenditure,previous-year-chain-linked
2012-Q3,75662.7,private-final-consumption-expenditure,previous-year-chain-linked
2012-Q4,77604.8,private-final-consumption-expenditure,previous-year-chain-linked
2013-Q1,77188,private-final-consumption-expenditure,previous-year-chain-linked
2013-Q2,76127.9,private-final-consumption-expenditure,previous-year-chain-linked
2013-Q3,78035.3,private-final-consumption-expenditure,previous-year-chain-linked
2013-Q4,79576.6,private-final-consumption-expenditure,previous-year-chain-linked
2014-Q1,79663.7,private-final-consumption-expenditure,previous-year-chain-linked
2014-Q2,74402.4,private-final-consumption-expenditure,previous-year-chain-linked
2014-Q3,76385.7,private-final-consumption-expenditure,previous-year-chain-linked
2014-Q4,78346.5,private-final-consumption-expenditure,previous-year-chain-linked
2015-Q1,77143.3,private-final-consumption-expenditure,previous-year-chain-linked
2015-Q2,75720.1,private-final-consumption-expenditure,previous-year-chain-linked
2015-Q3,77281.1,private-final-consumption-expenditure,previous-year-chain-linked
2015-Q4,78716.4,private-final-consumption-expenditure,previous-year-chain-linked
2016-Q1,77117.8,private-final-consumption-expenditure,previous-year-chain-linked
2016-Q2,75155.9,private-final-consumption-expenditure,previous-year-chain-linked
2016-Q3,76719.5,private-final-consumption-expenditure,previous-year-chain-linked
2016-Q4,78761.6,private-final-consumption-expenditure,previous-year-chain-linked
2017-Q1,77268,private-final-consumption-expenditure,previous-year-chain-linked
2017-Q2,76355,private-final-consumption-expenditure,previous-year-chain-linked
2017-Q3,77303.4,private-final-consumption-expenditure,previous-year-chain-linked
2017-Q4,79675.1,private-final-consumption-expenditure,previous-year-chain-linked
2018-Q1,77505.9,private-final-consumption-expenditure,previous-year-chain-linked
2018-Q2,76330.6,private-final-consumption-expenditure,previous-year-chain-linked
2018-Q3,77622.4,private-final-consumption-expenditure,previous-year-chain-linked
2018-Q4,79717.2,private-final-consumption-expenditure,previous-year-chain-linked
2019-Q1,77373.3,private-final-consumption-expenditure,previous-year-chain-linked
2019-Q2,76338.8,private-final-consumption-expenditure,previous-year-chain-linked
2019-Q3,77884.8,private-final-consumption-expenditure,previous-year-chain-linked
2019-Q4,77045.2,private-final-consumption-expenditure,previous-year-chain-linked
2020-Q1,75095.3,private-final-consumption-expenditure,previous-year-chain-linked
2020-Q2,68789.7,private-final-consumption-expenditure,previous-year-chain-linked
2020-Q3,73026.5,private-final-consumption-expenditure,previous-year-chain-linked
2020-Q4,76402.9,private-final-consumption-expenditure,previous-year-chain-linked
2021-Q1,73946.4,private-final-consumption-expenditure,previous-year-chain-linked
2021-Q2,73512.3,private-final-consumption-expenditure,previous-year-chain-linked
2021-Q3,73683.9,private-final-consumption-expenditure,previous-year-chain-linked
2021-Q4,77864.8,private-final-consumption-expenditure,previous-year-chain-linked
2022-Q1,75249.3,private-final-consumption-expenditure,previous-year-chain-linked
2022-Q2,75606.6,private-final-consumption-expenditure,previous-year-chain-linked
2022-Q3,76372.9,private-final-consumption-expenditure,previous-year-chain-linked
2022-Q4,78532.1,private-final-consumption-expenditure,previous-year-chain-linked
2023-Q1,77161.8,private-final-consumption-expenditure,previous-year-chain-linked
2023-Q2,75468.8,private-final-consumption-expenditure,previous-year-chain-linked
2023-Q3,75793.8,private-final-consumption-expenditure,previous-year-chain-linked
2023-Q4,77593,private-final-consumption-expenditure,previous-year-chain-linked
2024-Q1,75802.6,private-final-consumption-expenditure,previous-year-chain-linked
2024-Q2,74660.6,private-final-consumption-expenditure,previous-year-chain-linked
2024-Q3,76008.1,private-final-consumption-expenditure,previous-year-chain-linked
2024-Q4,77732.3,private-final-consumption-expenditure,previous-year-chain-linked
2025-Q1,76701.1,private-final-consumption-expenditure,previous-year-chain-linked
2025-Q2,75614.6,private-final-consumption-expenditure,previous-year-chain-linked
2025-Q3,77031.6,private-final-consumption-expenditure,previous-year-chain-linked
2025-Q4,78774.9,private-final-consumption-expenditure,previous-year-chain-linked
