年,1-12,1-6,7-12,1-3,4-6,7-9,10-12,1,2,3,4,5,6,7,8,9,10,11,12,4-3
year,年平均,上半期,下半期,第１四半期,第２四半期,第３四半期,第４四半期,１月,２月,３月,４月,５月,６月,７月,８月,９月,１０月,１１月,１２月,年度平均
,year av.,1st Half,2nd Half,1st Qr.,2nd Qr.,3rd Qr.,4th Qr.,Jan.,Feb.,Mar.,Apr.,May,Jun.,Jul.,Aug.,Sep.,Oct.,Nov.,Dec.,fiscal y. av.
1952,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1953,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1954,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1955,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1956,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1957,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1958,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1959,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1960,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1961,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1962,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1963,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1964,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1965,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1966,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1967,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1968,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1969,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1970,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1971,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1972,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1973,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1974,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1975,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1976,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1977,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1978,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1979,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1980,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1981,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1982,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1983,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1984,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1985,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1986,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1987,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1988,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1989,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1990,13,12.8,13.1,12.9,12.6,13,13.3,12.89,12.65,13.26,12.64,12.56,12.7,12.92,13.06,13.03,13.01,13.29,13.58,81.2
1991,13.5,13.3,13.6,13.5,13.2,13.4,13.8,13.22,13.49,13.65,13.2,13.24,13.25,13.39,13.51,13.41,13.57,13.69,14.01,83.2
1992,13.8,13.6,14,13.8,13.5,13.9,14.1,13.76,13.82,13.81,13.5,13.47,13.5,13.78,13.93,13.86,13.96,14.04,14.39,85.5
1993,14.4,14.2,14.5,14.4,14.1,14.4,14.6,14.32,14.3,14.55,14.11,14.08,14.02,14.44,14.44,14.44,14.55,14.5,14.77,87
1994,14.4,14.5,14.4,14.6,14.3,14.4,14.5,14.62,14.64,14.65,14.28,14.26,14.33,14.36,14.39,14.38,14.44,14.39,14.53,87.7
1995,14.5,14.2,14.7,14.3,14.2,14.6,14.8,14.36,14.28,14.33,14.11,14.18,14.24,14.54,14.62,14.62,14.78,14.73,14.85,88.3
1996,15,14.8,15.2,14.9,14.8,15,15.3,14.86,14.97,14.99,14.74,14.72,14.8,15.01,15.02,15.11,15.17,15.26,15.56,89
1997,15.6,15.4,15.8,15.5,15.3,15.6,16,15.5,15.42,15.46,15.24,15.25,15.29,15.51,15.66,15.7,15.91,15.97,16.11,89.7
1998,16.3,16.1,16.5,16.2,16,16.4,16.5,16.15,16.21,16.19,15.95,15.94,15.96,16.34,16.41,16.43,16.41,16.53,16.67,89.5
1999,19.5,19.3,19.8,19.4,19.2,19.6,19.9,19.33,19.36,19.45,19.14,19.25,19.3,19.58,19.68,19.66,19.74,19.85,20.01,89.1
2000,20.3,20,20.6,20.1,20,20.4,20.7,20.03,20.07,20.07,20,19.95,20.14,20.29,20.48,20.53,20.57,20.68,20.86,88.7
2001,21.1,20.9,21.2,21.1,20.8,21.2,21.3,21.07,21.08,21.01,20.76,20.79,20.86,21.08,21.21,21.21,21.14,21.27,21.57,88.3
2002,22.1,22,22.2,22,22,22.1,22.3,22.03,22.03,21.95,21.92,21.97,22.08,22.07,22.06,22.23,22.14,22.33,22.51,87.4
2003,22.7,22.4,22.9,22.5,22.4,22.8,23,22.59,22.42,22.44,22.36,22.32,22.39,22.7,22.73,22.82,23.02,22.88,23.15,86.8
2004,25.2,25.1,25.4,25,25.1,25.2,25.6,25.03,25.02,25.03,25.02,25.07,25.22,25.16,25.22,25.34,25.55,25.44,25.72,86.9
