variant,series_index,official_series_code,series_name,month,raw_value,is_missing
seasonallyAdjusted,1,,消費支出（名目）,2005-01,100.2,false
seasonallyAdjusted,2,,食料（名目）,2005-01,23.6,false
seasonallyAdjusted,3,,住居（名目）,2005-01,7.4,false
seasonallyAdjusted,4,,光熱・水道（名目）,2005-01,6.4,false
seasonallyAdjusted,5,,家具・家事用品（名目）,2005-01,3.8,false
seasonallyAdjusted,6,,被服及び履物（名目）,2005-01,4.7,false
seasonallyAdjusted,7,,保健医療（名目）,2005-01,3.9,false
seasonallyAdjusted,8,,交通・通信（名目）,2005-01,15.6,false
seasonallyAdjusted,9,,教育（名目）,2005-01,3.9,false
seasonallyAdjusted,10,,教養娯楽（名目）,2005-01,10.7,false
seasonallyAdjusted,11,,その他の消費支出（名目）,2005-01,,true
seasonallyAdjusted,12,,消費支出（実質）,2005-01,121.5,false
seasonallyAdjusted,13,,食料（実質）,2005-01,34.3,false
seasonallyAdjusted,14,,住居（実質）,2005-01,8.7,false
seasonallyAdjusted,15,,光熱・水道（実質）,2005-01,9.2,false
seasonallyAdjusted,16,,家具・家事用品（実質）,2005-01,3.9,false
seasonallyAdjusted,17,,被服及び履物（実質）,2005-01,5.7,false
seasonallyAdjusted,18,,保健医療（実質）,2005-01,4.2,false
seasonallyAdjusted,19,,交通・通信（実質）,2005-01,15.8,false
seasonallyAdjusted,20,,教育（実質）,2005-01,3.3,false
seasonallyAdjusted,21,,教養娯楽（実質）,2005-01,11.6,false
seasonallyAdjusted,22,,その他の消費支出（実質）,2005-01,,true
seasonallyAdjusted,1,,消費支出（名目）,2005-02,100.2,false
seasonallyAdjusted,2,,食料（名目）,2005-02,23.5,false
seasonallyAdjusted,3,,住居（名目）,2005-02,7.4,false
seasonallyAdjusted,4,,光熱・水道（名目）,2005-02,6.6,false
seasonallyAdjusted,5,,家具・家事用品（名目）,2005-02,3.4,false
seasonallyAdjusted,6,,被服及び履物（名目）,2005-02,4.5,false
seasonallyAdjusted,7,,保健医療（名目）,2005-02,4.2,false
seasonallyAdjusted,8,,交通・通信（名目）,2005-02,15.3,false
seasonallyAdjusted,9,,教育（名目）,2005-02,4,false
seasonallyAdjusted,10,,教養娯楽（名目）,2005-02,10.5,false
seasonallyAdjusted,11,,その他の消費支出（名目）,2005-02,,true
seasonallyAdjusted,12,,消費支出（実質）,2005-02,121.6,false
seasonallyAdjusted,13,,食料（実質）,2005-02,34.2,false
seasonallyAdjusted,14,,住居（実質）,2005-02,8.7,false
seasonallyAdjusted,15,,光熱・水道（実質）,2005-02,9.5,false
seasonallyAdjusted,16,,家具・家事用品（実質）,2005-02,3.6,false
seasonallyAdjusted,17,,被服及び履物（実質）,2005-02,5.5,false
seasonallyAdjusted,18,,保健医療（実質）,2005-02,4.5,false
seasonallyAdjusted,19,,交通・通信（実質）,2005-02,15.5,false
seasonallyAdjusted,20,,教育（実質）,2005-02,3.4,false
seasonallyAdjusted,21,,教養娯楽（実質）,2005-02,11.4,false
seasonallyAdjusted,22,,その他の消費支出（実質）,2005-02,,true
seasonallyAdjusted,1,,消費支出（名目）,2005-03,100.3,false
seasonallyAdjusted,2,,食料（名目）,2005-03,23.2,false
seasonallyAdjusted,3,,住居（名目）,2005-03,7.3,false
seasonallyAdjusted,4,,光熱・水道（名目）,2005-03,6.7,false
seasonallyAdjusted,5,,家具・家事用品（名目）,2005-03,3.6,false
seasonallyAdjusted,6,,被服及び履物（名目）,2005-03,4.6,false
seasonallyAdjusted,7,,保健医療（名目）,2005-03,4.1,false
seasonallyAdjusted,8,,交通・通信（名目）,2005-03,15.9,false
seasonallyAdjusted,9,,教育（名目）,2005-03,3.8,false
seasonallyAdjusted,10,,教養娯楽（名目）,2005-03,10.6,false
seasonallyAdjusted,11,,その他の消費支出（名目）,2005-03,,true
seasonallyAdjusted,12,,消費支出（実質）,2005-03,121.6,false
seasonallyAdjusted,13,,食料（実質）,2005-03,33.6,false
seasonallyAdjusted,14,,住居（実質）,2005-03,8.6,false
seasonallyAdjusted,15,,光熱・水道（実質）,2005-03,9.6,false
seasonallyAdjusted,16,,家具・家事用品（実質）,2005-03,3.7,false
seasonallyAdjusted,17,,被服及び履物（実質）,2005-03,5.5,false
seasonallyAdjusted,18,,保健医療（実質）,2005-03,4.4,false
seasonallyAdjusted,19,,交通・通信（実質）,2005-03,16.1,false
seasonallyAdjusted,20,,教育（実質）,2005-03,3.3,false
seasonallyAdjusted,21,,教養娯楽（実質）,2005-03,11.5,false
seasonallyAdjusted,22,,その他の消費支出（実質）,2005-03,,true
seasonallyAdjusted,1,,消費支出（名目）,2005-04,99.9,false
seasonallyAdjusted,2,,食料（名目）,2005-04,23.4,false
seasonallyAdjusted,3,,住居（名目）,2005-04,7.3,false
seasonallyAdjusted,4,,光熱・水道（名目）,2005-04,6.7,false
seasonallyAdjusted,5,,家具・家事用品（名目）,2005-04,3.4,false
seasonallyAdjusted,6,,被服及び履物（名目）,2005-04,4.8,false
seasonallyAdjusted,7,,保健医療（名目）,2005-04,4.2,false
seasonallyAdjusted,8,,交通・通信（名目）,2005-04,15.2,false
seasonallyAdjusted,9,,教育（名目）,2005-04,3.7,false
seasonallyAdjusted,10,,教養娯楽（名目）,2005-04,10.7,false
seasonallyAdjusted,11,,その他の消費支出（名目）,2005-04,,true
seasonallyAdjusted,12,,消費支出（実質）,2005-04,121.1,false
seasonallyAdjusted,13,,食料（実質）,2005-04,34.1,false
seasonallyAdjusted,14,,住居（実質）,2005-04,8.6,false
seasonallyAdjusted,15,,光熱・水道（実質）,2005-04,9.5,false
seasonallyAdjusted,16,,家具・家事用品（実質）,2005-04,3.6,false
seasonallyAdjusted,17,,被服及び履物（実質）,2005-04,5.8,false
seasonallyAdjusted,18,,保健医療（実質）,2005-04,4.5,false
seasonallyAdjusted,19,,交通・通信（実質）,2005-04,15.2,false
seasonallyAdjusted,20,,教育（実質）,2005-04,3.2,false
seasonallyAdjusted,21,,教養娯楽（実質）,2005-04,11.6,false
seasonallyAdjusted,22,,その他の消費支出（実質）,2005-04,,true
seasonallyAdjusted,1,,消費支出（名目）,2005-05,100.3,false
seasonallyAdjusted,2,,食料（名目）,2005-05,23.4,false
seasonallyAdjusted,3,,住居（名目）,2005-05,7.7,false
seasonallyAdjusted,4,,光熱・水道（名目）,2005-05,6.6,false
seasonallyAdjusted,5,,家具・家事用品（名目）,2005-05,3.5,false
seasonallyAdjusted,6,,被服及び履物（名目）,2005-05,4.6,false
seasonallyAdjusted,7,,保健医療（名目）,2005-05,4,false
seasonallyAdjusted,8,,交通・通信（名目）,2005-05,15.5,false
seasonallyAdjusted,9,,教育（名目）,2005-05,3.7,false
seasonallyAdjusted,10,,教養娯楽（名目）,2005-05,10.7,false
seasonallyAdjusted,11,,その他の消費支出（名目）,2005-05,,true
seasonallyAdjusted,12,,消費支出（実質）,2005-05,121.7,false
seasonallyAdjusted,13,,食料（実質）,2005-05,34.2,false
seasonallyAdjusted,14,,住居（実質）,2005-05,9.1,false
seasonallyAdjusted,15,,光熱・水道（実質）,2005-05,9.5,false
seasonallyAdjusted,16,,家具・家事用品（実質）,2005-05,3.7,false
seasonallyAdjusted,17,,被服及び履物（実質）,2005-05,5.6,false
seasonallyAdjusted,18,,保健医療（実質）,2005-05,4.3,false
seasonallyAdjusted,19,,交通・通信（実質）,2005-05,15.7,false
seasonallyAdjusted,20,,教育（実質）,2005-05,3.2,false
seasonallyAdjusted,21,,教養娯楽（実質）,2005-05,11.6,false
seasonallyAdjusted,22,,その他の消費支出（実質）,2005-05,,true
seasonallyAdjusted,1,,消費支出（名目）,2005-06,99.7,false
seasonallyAdjusted,2,,食料（名目）,2005-06,23.3,false
seasonallyAdjusted,3,,住居（名目）,2005-06,7.4,false
seasonallyAdjusted,4,,光熱・水道（名目）,2005-06,6.7,false
seasonallyAdjusted,5,,家具・家事用品（名目）,2005-06,3.6,false
seasonallyAdjusted,6,,被服及び履物（名目）,2005-06,4.9,false
seasonallyAdjusted,7,,保健医療（名目）,2005-06,4,false
seasonallyAdjusted,8,,交通・通信（名目）,2005-06,15.5,false
seasonallyAdjusted,9,,教育（名目）,2005-06,3.7,false
seasonallyAdjusted,10,,教養娯楽（名目）,2005-06,10.9,false
seasonallyAdjusted,11,,その他の消費支出（名目）,2005-06,,true
seasonallyAdjusted,12,,消費支出（実質）,2005-06,121.4,false
seasonallyAdjusted,13,,食料（実質）,2005-06,34.4,false
seasonallyAdjusted,14,,住居（実質）,2005-06,8.8,false
