variant,series_index,series_name,month,raw_value,is_missing
nominal,1,消費支出（名目）,2005-01,98.3,false
nominal,2,食料（名目）,2005-01,21.9,false
nominal,3,住居（名目）,2005-01,6.1,false
nominal,4,光熱・水道（名目）,2005-01,7.9,false
nominal,5,家具・家事用品（名目）,2005-01,3.2,false
nominal,6,被服及び履物（名目）,2005-01,5.3,false
nominal,7,保健医療（名目）,2005-01,3.7,false
nominal,8,交通・通信（名目）,2005-01,14.1,false
nominal,9,教育（名目）,2005-01,3,false
nominal,10,教養娯楽（名目）,2005-01,9.8,false
nominal,11,その他の消費支出（名目）,2005-01,,true
nominal,12,消費支出（実質）,2005-01,119.4,false
nominal,13,食料（実質）,2005-01,31.7,false
nominal,14,住居（実質）,2005-01,7.1,false
nominal,15,光熱・水道（実質）,2005-01,11.3,false
nominal,16,家具・家事用品（実質）,2005-01,3.3,false
nominal,17,被服及び履物（実質）,2005-01,6.6,false
nominal,18,保健医療（実質）,2005-01,4,false
nominal,19,交通・通信（実質）,2005-01,14.3,false
nominal,20,教育（実質）,2005-01,2.6,false
nominal,21,教養娯楽（実質）,2005-01,10.7,false
nominal,22,その他の消費支出（実質）,2005-01,,true
nominal,1,消費支出（名目）,2020-01,91.6,false
nominal,2,食料（名目）,2020-01,23.3,false
nominal,3,住居（名目）,2020-01,5.4,false
nominal,4,光熱・水道（名目）,2020-01,7.9,false
nominal,5,家具・家事用品（名目）,2020-01,3.2,false
nominal,6,被服及び履物（名目）,2020-01,4,false
nominal,7,保健医療（名目）,2020-01,4.4,false
nominal,8,交通・通信（名目）,2020-01,14.4,false
nominal,9,教育（名目）,2020-01,2.6,false
nominal,10,教養娯楽（名目）,2020-01,9,false
nominal,11,その他の消費支出（名目）,2020-01,17.4,false
nominal,12,消費支出（実質）,2020-01,103.8,false
nominal,13,食料（実質）,2020-01,29.3,false
nominal,14,住居（実質）,2020-01,6.1,false
nominal,15,光熱・水道（実質）,2020-01,9,false
nominal,16,家具・家事用品（実質）,2020-01,3.9,false
nominal,17,被服及び履物（実質）,2020-01,4.5,false
nominal,18,保健医療（実質）,2020-01,4.6,false
nominal,19,交通・通信（実質）,2020-01,14.2,false
nominal,20,教育（実質）,2020-01,2.5,false
nominal,21,教養娯楽（実質）,2020-01,10.3,false
nominal,22,その他の消費支出（実質）,2020-01,19.7,false
nominal,1,消費支出（名目）,2026-07,97.7,false
nominal,2,食料（名目）,2026-07,29.5,false
nominal,3,住居（名目）,2026-07,6.1,false
nominal,4,光熱・水道（名目）,2026-07,5.7,false
nominal,5,家具・家事用品（名目）,2026-07,5.5,false
nominal,6,被服及び履物（名目）,2026-07,3.2,false
nominal,7,保健医療（名目）,2026-07,5,false
nominal,8,交通・通信（名目）,2026-07,16.7,false
nominal,9,教育（名目）,2026-07,2.3,false
nominal,10,教養娯楽（名目）,2026-07,10.3,false
nominal,11,その他の消費支出（名目）,2026-07,13.3,false
nominal,12,消費支出（実質）,2026-07,95.4,false
nominal,13,食料（実質）,2026-07,28.6,false
nominal,14,住居（実質）,2026-07,5.9,false
nominal,15,光熱・水道（実質）,2026-07,5.5,false
nominal,16,家具・家事用品（実質）,2026-07,5.2,false
nominal,17,被服及び履物（実質）,2026-07,3.2,false
nominal,18,保健医療（実質）,2026-07,4.9,false
nominal,19,交通・通信（実質）,2026-07,16.3,false
nominal,20,教育（実質）,2026-07,2.4,false
nominal,21,教養娯楽（実質）,2026-07,10.1,false
nominal,22,その他の消費支出（実質）,2026-07,13,false
seasonallyAdjusted,1,消費支出（名目）,2005-01,100.2,false
seasonallyAdjusted,2,食料（名目）,2005-01,23.6,false
seasonallyAdjusted,3,住居（名目）,2005-01,7.4,false
seasonallyAdjusted,4,光熱・水道（名目）,2005-01,6.4,false
seasonallyAdjusted,5,家具・家事用品（名目）,2005-01,3.8,false
seasonallyAdjusted,6,被服及び履物（名目）,2005-01,4.7,false
seasonallyAdjusted,7,保健医療（名目）,2005-01,3.9,false
seasonallyAdjusted,8,交通・通信（名目）,2005-01,15.6,false
seasonallyAdjusted,9,教育（名目）,2005-01,3.9,false
seasonallyAdjusted,10,教養娯楽（名目）,2005-01,10.7,false
