variant,series_index,official_series_code,series_name,stable_display_key
nominal,1,1,消費支出（名目）,cti-basic-nominal-01
nominal,2,2,食料（名目）,cti-basic-nominal-02
nominal,3,3,住居（名目）,cti-basic-nominal-03
nominal,4,4,光熱・水道（名目）,cti-basic-nominal-04
nominal,5,5,家具・家事用品（名目）,cti-basic-nominal-05
nominal,6,6,被服及び履物（名目）,cti-basic-nominal-06
nominal,7,7,保健医療（名目）,cti-basic-nominal-07
nominal,8,8,交通・通信（名目）,cti-basic-nominal-08
nominal,9,9,教育（名目）,cti-basic-nominal-09
nominal,10,10,教養娯楽（名目）,cti-basic-nominal-10
nominal,11,11,その他の消費支出（名目）,cti-basic-nominal-11
nominal,12,12,消費支出（実質）,cti-basic-nominal-12
nominal,13,13,食料（実質）,cti-basic-nominal-13
nominal,14,14,住居（実質）,cti-basic-nominal-14
nominal,15,15,光熱・水道（実質）,cti-basic-nominal-15
nominal,16,16,家具・家事用品（実質）,cti-basic-nominal-16
nominal,17,17,被服及び履物（実質）,cti-basic-nominal-17
nominal,18,18,保健医療（実質）,cti-basic-nominal-18
nominal,19,19,交通・通信（実質）,cti-basic-nominal-19
nominal,20,20,教育（実質）,cti-basic-nominal-20
nominal,21,21,教養娯楽（実質）,cti-basic-nominal-21
nominal,22,22,その他の消費支出（実質）,cti-basic-nominal-22
seasonallyAdjusted,1,,消費支出（名目）,cti-basic-seasonallyAdjusted-01
seasonallyAdjusted,2,,食料（名目）,cti-basic-seasonallyAdjusted-02
seasonallyAdjusted,3,,住居（名目）,cti-basic-seasonallyAdjusted-03
seasonallyAdjusted,4,,光熱・水道（名目）,cti-basic-seasonallyAdjusted-04
seasonallyAdjusted,5,,家具・家事用品（名目）,cti-basic-seasonallyAdjusted-05
seasonallyAdjusted,6,,被服及び履物（名目）,cti-basic-seasonallyAdjusted-06
seasonallyAdjusted,7,,保健医療（名目）,cti-basic-seasonallyAdjusted-07
seasonallyAdjusted,8,,交通・通信（名目）,cti-basic-seasonallyAdjusted-08
seasonallyAdjusted,9,,教育（名目）,cti-basic-seasonallyAdjusted-09
seasonallyAdjusted,10,,教養娯楽（名目）,cti-basic-seasonallyAdjusted-10
seasonallyAdjusted,11,,その他の消費支出（名目）,cti-basic-seasonallyAdjusted-11
seasonallyAdjusted,12,,消費支出（実質）,cti-basic-seasonallyAdjusted-12
seasonallyAdjusted,13,,食料（実質）,cti-basic-seasonallyAdjusted-13
seasonallyAdjusted,14,,住居（実質）,cti-basic-seasonallyAdjusted-14
seasonallyAdjusted,15,,光熱・水道（実質）,cti-basic-seasonallyAdjusted-15
seasonallyAdjusted,16,,家具・家事用品（実質）,cti-basic-seasonallyAdjusted-16
seasonallyAdjusted,17,,被服及び履物（実質）,cti-basic-seasonallyAdjusted-17
seasonallyAdjusted,18,,保健医療（実質）,cti-basic-seasonallyAdjusted-18
seasonallyAdjusted,19,,交通・通信（実質）,cti-basic-seasonallyAdjusted-19
seasonallyAdjusted,20,,教育（実質）,cti-basic-seasonallyAdjusted-20
seasonallyAdjusted,21,,教養娯楽（実質）,cti-basic-seasonallyAdjusted-21
seasonallyAdjusted,22,,その他の消費支出（実質）,cti-basic-seasonallyAdjusted-22
