産   業,,,,,,,毎月勤労統計調査全国調査結果原表,,,,,,,,,
TL,,,調　査　産　業　計,,令和 8年,1月分,,,,,,,（ 確 報 ）,確  原  表　―,,1頁
,,,,,,,,,,,,,,,,
"規

模",,"形

態",常　　　用　　　労　　　働　　　者　　　数　　　　,,,,,"出　勤
日　数",実　労　働　時　間　数,,,現　　　　金　　　　給　　　　与　　　　額,,,,
,性,,前調査期間末,本月中の増加,本月中の減少,本調査期間末,,,総    数,所定内,所定外,総　　　　額,"きまって支
給する給与",所定内給与,超過労働給与,"特別に支払
われた給与"
,,,,,,,パートタイム労働者数,,,,,,,,,
,,,人,人,人,人,人,日,時間,時間,時間,円,円,円,円,円
T,T,T,"51,917,454 ","695,393 ","825,369 ","51,787,478 ","16,482,395 ",16.6 ,128.3 ,118.8 ,9.5 ,"299,768 ","288,933 ","269,141 ","19,792 ","10,835 "
,M,T,"26,740,455 ","329,165 ","374,452 ","26,695,168 ","4,782,309 ",17.3 ,142.4 ,129.2 ,13.2 ,"373,490 ","359,372 ",,,"14,118 "
,F,T,"25,176,999 ","366,228 ","450,917 ","25,092,310 ","11,700,086 ",15.8 ,113.3 ,107.8 ,5.5 ,"221,403 ","214,058 ",,,"7,345 "
,,N,"35,391,725 ","338,164 ","434,877 ","35,305,083 ",-,18.3 ,152.8 ,139.9 ,12.9 ,"387,722 ","372,599 ","345,106 ","27,493 ","15,123 "
,,P,"16,525,729 ","357,229 ","390,492 ","16,482,395 ",-,12.9 ,75.8 ,73.6 ,2.2 ,"111,388 ","109,737 ","106,438 ","3,299 ","1,651 "
,,,,,,,,,,,,,,,,
0,T,T,"31,445,925 ","373,697 ","487,208 ","31,332,414 ","8,021,890 ",17.0 ,135.3 ,124.0 ,11.3 ,"336,713 ","324,326 ","299,243 ","25,083 ","12,387 "
,M,T,"17,141,628 ","185,583 ","227,875 ","17,099,336 ","2,451,193 ",17.6 ,146.6 ,131.8 ,14.8 ,"408,090 ","392,282 ",,,"15,808 "
,F,T,"14,304,297 ","188,114 ","259,333 ","14,233,078 ","5,570,697 ",16.4 ,121.7 ,114.7 ,7.0 ,"251,070 ","242,787 ",,,"8,283 "
,,N,"23,380,172 ","215,192 ","292,290 ","23,310,524 ",-,18.2 ,153.2 ,139.1 ,14.1 ,"409,398 ","393,360 ","361,145 ","32,215 ","16,038 "
,,P,"8,065,753 ","158,505 ","194,918 ","8,021,890 ",-,13.8 ,83.1 ,80.2 ,2.9 ,"125,759 ","123,968 ","119,585 ","4,383 ","1,791 "
,,,,,,,,,,,,,,,,
1,T,T,"3,599,038 ","49,091 ","63,702 ","3,584,427 ","427,070 ",17.2 ,144.1 ,129.5 ,14.6 ,"456,424 ","438,046 ","393,831 ","44,215 ","18,378 "
,M,T,"2,176,481 ","25,234 ","31,828 ","2,169,887 ","134,327 ",17.6 ,150.9 ,133.5 ,17.4 ,"531,513 ","509,795 ",,,"21,718 "
,F,T,"1,422,557 ","23,857 ","31,874 ","1,414,540 ","292,743 ",16.7 ,133.4 ,123.2 ,10.2 ,"341,390 ","328,128 ",,,"13,262 "
,,N,"3,166,639 ","33,642 ","43,352 ","3,157,357 ",-,17.8 ,152.2 ,136.1 ,16.1 ,"498,397 ","477,938 ","428,731 ","49,207 ","20,459 "
,,P,"432,399 ","15,449 ","20,350 ","427,070 ",-,13.1 ,84.3 ,80.9 ,3.4 ,"147,586 ","144,519 ","137,041 ","7,478 ","3,067 "
,,,,,,,,,,,,,,,,
3,T,T,"3,639,060 ","51,475 ","63,193 ","3,627,342 ","700,869 ",17.1 ,139.3 ,127.1 ,12.2 ,"381,187 ","363,817 ","331,900 ","31,917 ","17,370 "
,M,T,"1,973,428 ","24,300 ","29,348 ","1,968,380 ","210,461 ",17.5 ,148.6 ,132.9 ,15.7 ,"461,488 ","438,718 ",,,"22,770 "
,F,T,"1,665,632 ","27,175 ","33,845 ","1,658,962 ","490,408 ",16.7 ,128.3 ,120.3 ,8.0 ,"285,978 ","275,011 ",,,"10,967 "
,,N,"2,934,524 ","35,972 ","44,756 ","2,926,473 ",-,17.9 ,151.7 ,137.4 ,14.3 ,"438,521 ","417,417 ","379,321 ","38,096 ","21,104 "
,,P,"704,536 ","15,503 ","18,437 ","700,869 ",-,13.9 ,87.9 ,84.5 ,3.4 ,"142,082 ","140,288 ","134,139 ","6,149 ","1,794 "
,,,,,,,,,,,,,,,,
4,T,T,"7,238,098 ","100,566 ","126,895 ","7,211,769 ","1,127,939 ",17.2 ,141.7 ,128.3 ,13.4 ,"418,590 ","400,719 ","362,688 ","38,031 ","17,871 "
,M,T,"4,149,909 ","49,534 ","61,176 ","4,138,267 ","344,788 ",17.5 ,149.8 ,133.2 ,16.6 ,"498,209 ","475,991 ",,,"22,218 "
,F,T,"3,088,189 ","51,032 ","65,719 ","3,073,502 ","783,151 ",16.7 ,130.7 ,121.7 ,9.0 ,"311,492 ","299,468 ",,,"12,024 "
,,N,"6,101,163 ","69,614 ","88,108 ","6,083,830 ",-,17.9 ,151.9 ,136.7 ,15.2 ,"469,596 ","448,827 ","404,964 ","43,863 ","20,769 "
,,P,"1,136,935 ","30,952 ","38,787 ","1,127,939 ",-,13.6 ,86.5 ,83.1 ,3.4 ,"144,171 ","141,894 ","135,240 ","6,654 ","2,277 "
,,,,,,,,,,,,,,,,
5,T,T,"11,436,639 ","131,404 ","172,552 ","11,395,491 ","2,967,041 ",17.0 ,135.3 ,124.3 ,11.0 ,"334,474 ","322,384 ","297,095 ","25,289 ","12,090 "
,M,T,"6,248,000 ","65,652 ","81,470 ","6,232,182 ","952,674 ",17.5 ,146.5 ,131.9 ,14.6 ,"404,545 ","388,795 ",,,"15,750 "
,F,T,"5,188,639 ","65,752 ","91,082 ","5,163,309 ","2,014,367 ",16.4 ,121.8 ,115.2 ,6.6 ,"249,997 ","242,319 ",,,"7,678 "
,,N,"8,451,352 ","74,939 ","102,426 ","8,428,450 ",-,18.2 ,153.5 ,139.8 ,13.7 ,"407,193 ","391,252 ","358,830 ","32,422 ","15,941 "
