年　月,Unnamed: 1,Unnamed: 2,Unnamed: 3,総数,15～64歳,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,65歳以上,（再掲）,総数.1,15～64歳.1,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,65歳以上.1,（再掲）.1,総数.2,15～64歳.2,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,65歳以上.2,（再掲）.2
Year and month ,,,,,,15～24,25～34,35～44,45～54,55～64,,20～69歳,,,15～24,25～34,35～44,45～54,55～64,,20～69歳,,,15～24,25～34,35～44,45～54,55～64,,20～69歳
,,,,Total,years old,,,,,,and over,years old,Total,years old,,,,,,and over,years old,Total,years old,,,,,,and over,years old
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
昭和47年,1月,Jan.,,… ,… ,… ,… ,… ,… ,… ,… ,… ,… ,… ,… ,… ,… ,… ,… ,… ,… ,… ,… ,… ,… ,… ,… ,… ,… ,… 
1972,2月,Feb.,,… ,… ,… ,… ,… ,… ,… ,… ,… ,… ,… ,… ,… ,… ,… ,… ,… ,… ,… ,… ,… ,… ,… ,… ,… ,… ,… 
,3月,Mar.,,… ,… ,… ,… ,… ,… ,… ,… ,… ,… ,… ,… ,… ,… ,… ,… ,… ,… ,… ,… ,… ,… ,… ,… ,… ,… ,… 
,4月,Apr.,,… ,… ,… ,… ,… ,… ,… ,… ,… ,… ,… ,… ,… ,… ,… ,… ,… ,… ,… ,… ,… ,… ,… ,… ,… ,… ,… 
,5月,May,,… ,… ,… ,… ,… ,… ,… ,… ,… ,… ,… ,… ,… ,… ,… ,… ,… ,… ,… ,… ,… ,… ,… ,… ,… ,… ,… 
,6月,June,,… ,… ,… ,… ,… ,… ,… ,… ,… ,… ,… ,… ,… ,… ,… ,… ,… ,… ,… ,… ,… ,… ,… ,… ,… ,… ,… 
※注_Notes,7月,July,,8136,7346,1938,1777,1612,1167,853,790,6816,3952,3607,979,887,811,537,391,345,3326,4184,3740,959,889,800,629,462,444,3490
,8月,Aug.,,8148,7356,1931,1786,1616,1170,855,792,6831,3957,3611,976,891,808,544,391,346,3329,4191,3745,955,893,807,626,463,446,3501
,9月,Sept.,,8154,7359,1921,1791,1627,1165,855,795,6834,3960,3612,972,895,807,548,391,348,3330,4194,3746,951,897,820,618,464,448,3501
,10月,Oct.,,8165,7371,1919,1796,1646,1152,859,794,6835,3954,3608,963,895,812,543,392,346,3323,4211,3764,956,901,833,609,466,447,3512
,11月,Nov.,,8174,7377,1912,1802,1643,1162,859,797,6854,3957,3609,960,899,817,544,392,348,3332,4215,3766,952,903,825,619,467,449,3519
,12月,Dec.,,8177,7380,1906,1804,1622,1190,859,797,6863,3959,3612,957,900,809,553,392,347,3339,4217,3768,949,905,811,637,467,449,3523
昭和48年,1月,Jan.,,8192,7389,1897,1811,1625,1197,861,803,6885,3969,3619,953,904,813,555,393,350,3347,4224,3772,944,908,810,642,468,452,3539
1973,2月,Feb.,,8201,7395,1887,1817,1631,1198,862,806,6884,3972,3621,948,907,819,553,393,351,3346,4229,3775,939,911,810,645,469,454,3538
,3月,Mar.,,8210,7400,1879,1825,1635,1199,864,810,6882,3977,3624,944,911,821,553,393,353,3346,4233,3777,935,914,813,645,471,456,3537
,4月,Apr.,,8218,7407,1873,1831,1633,1207,865,811,6899,3981,3628,941,914,821,557,393,353,3352,4237,3780,932,917,810,650,471,457,3546
,5月,May,,8228,7415,1867,1838,1636,1208,866,813,6906,3986,3631,937,917,822,561,394,355,3360,4243,3784,928,921,815,648,472,459,3548
,6月,June,,8235,7421,1862,1844,1657,1190,867,814,6918,3989,3634,935,921,833,552,394,355,3364,4246,3786,925,924,825,639,472,460,3555
,7月,July,,8241,7424,1854,1852,1656,1195,867,817,6926,3993,3637,931,923,832,556,395,356,3367,4248,3787,922,927,825,640,472,461,3560
,8月,Aug.,,8251,7432,1850,1860,1643,1212,868,819,6936,3999,3642,929,929,824,566,395,357,3374,4252,3790,919,930,821,647,473,462,3564
,9月,Sept.,,8260,7439,1844,1867,1641,1217,869,821,6942,4003,3645,926,933,823,569,395,358,3378,4256,3793,916,934,820,649,474,463,3564
,10月,Oct.,,8269,7445,1837,1874,1641,1222,869,824,6943,4008,3649,923,936,823,571,395,359,3378,4261,3796,913,938,820,651,474,465,3566
,11月,Nov.,,8277,7451,1830,1882,1641,1228,869,826,6960,4013,3653,920,939,822,574,395,360,3387,4265,3799,908,942,820,653,474,466,3575
,12月,Dec.,,8282,7455,1827,1888,1640,1231,869,827,6966,4015,3655,918,943,822,576,395,360,3386,4267,3800,907,945,819,654,475,467,3581
昭和49年,1月,Jan.,,8297,7464,1816,1898,1643,1238,870,833,6976,4023,3661,913,949,823,581,395,362,3394,4274,3804,901,950,821,658,476,470,3585
1974,2月,Feb.,,8305,7468,1808,1903,1643,1243,870,837,6988,4027,3663,909,952,823,583,395,364,3404,4279,3807,897,953,820,661,477,472,3587
,3月,Mar.,,8313,7471,1800,1911,1640,1249,872,842,6988,4031,3665,905,954,822,587,395,366,3404,4282,3807,893,955,819,663,477,475,3585
,4月,Apr.,,8323,7480,1795,1918,1642,1252,872,843,6996,4036,3670,903,959,821,589,394,366,3408,4287,3811,891,960,819,664,478,476,3588
,5月,May,,8333,7489,1791,1927,1642,1258,872,844,7002,4041,3675,901,964,822,591,394,366,3411,4291,3814,888,964,820,666,478,477,3592
,6月,June,,8339,7494,1783,1934,1642,1261,872,845,7011,4044,3677,898,967,822,594,394,367,3411,4295,3817,885,968,819,668,478,478,3600
