時間軸コード,月,消費支出（名目）,食料（名目）,住居（名目）,光熱・水道（名目）,家具・家事用品（名目）,被服及び履物（名目）,保健医療（名目）,交通・通信（名目）,教育（名目）,教養娯楽（名目）,その他の消費支出（名目）,消費支出（実質）,食料（実質）,住居（実質）,光熱・水道（実質）,家具・家事用品（実質）,被服及び履物（実質）,保健医療（実質）,交通・通信（実質）,教育（実質）,教養娯楽（実質）
2017000101,2017年1月,102.5244,25.2327,6.6093,8.6435,3.6532,4.6209,4.3093,15.8378,2.7168,9.9719,-,104.8307,25.9863,6.7997,9.2444,3.7392,4.8488,4.461,15.9014,2.4857,10.2591
2017000202,2017年2月,94.0084,23.578,6.945,9.1412,3.0421,3.0107,4.4661,15.8535,3.213,9.4588,-,96.2215,24.3826,7.1525,9.7144,3.1106,3.1394,4.6281,15.9975,2.9396,9.7313
2017000303,2017年3月,110.9175,26.6925,7.6002,8.6918,3.5816,4.3623,4.6338,20.8607,4.5678,11.225,-,113.4126,27.718,7.8192,9.1783,3.7115,4.465,4.7969,21.0714,4.1792,11.4541
2017000404,2017年4月,107.3717,25.8507,7.2714,8.0598,3.3287,4.3065,4.4681,17.4157,7.6505,11.1188,-,109.3398,26.7882,7.4731,8.4307,3.4246,4.3195,4.6111,17.5209,6.9613,11.2995
2017000505,2017年5月,102.4119,27.2083,7.4781,6.9776,3.8538,4.2719,4.5127,16.8794,3.2596,10.7537,-,104.183,28.1951,7.6935,7.2008,3.973,4.2891,4.6475,16.9642,2.966,10.8954
2017000606,2017年6月,96.6415,25.7236,7.6775,6.243,3.9588,3.763,4.6498,16.2334,2.109,10.2094,-,98.413,26.6842,7.8986,6.4229,4.0981,3.7895,4.7936,16.3149,1.9226,10.439
2017000707,2017年7月,101.4438,27.2267,7.9267,5.9636,5.1109,4.1811,4.5083,17.3389,2.2823,10.6038,-,103.5141,28.3317,8.155,6.1291,5.3073,4.3327,4.6477,17.3911,2.0824,10.8423
2017000808,2017年8月,102.3817,28.7971,7.1887,6.5985,4.3756,3.1108,4.4259,16.288,2.0966,12.2814,-,104.1523,29.8725,7.3957,6.7885,4.5579,3.2506,4.4842,16.3864,1.913,12.3432
2017000909,2017年9月,98.9758,25.9049,7.4833,6.4288,3.765,3.1628,4.3949,17.1898,4.5847,10.0671,-,100.483,26.6238,7.6988,6.6004,3.93,3.1659,4.4528,17.3635,4.1793,10.2517
2017001010,2017年10月,100.9617,26.411,8.0839,6.3644,3.7991,4.2595,4.6498,16.3053,4.9975,10.3421,-,102.3953,27.3406,8.3082,6.5276,3.9288,4.2468,4.7158,16.3708,4.5556,10.4677
2017001111,2017年11月,100.8267,26.3608,7.9404,6.7227,4.1428,4.7306,4.8863,16.6096,2.6931,10.3827,-,101.8451,27.009,8.1607,6.888,4.2842,4.6977,4.9607,16.593,2.455,10.5195
2017001212,2017年12月,116.9527,34.5902,8.4715,8.153,4.9176,4.7029,5.1479,16.362,2.5682,12.2987,-,117.7772,35.0813,8.7155,8.345,5.1012,4.7265,5.2369,16.2968,2.3411,12.4607
2018000101,2018年1月,103.7066,25.9558,6.7761,9.5057,3.473,4.4083,4.6255,16.8497,2.3193,9.934,-,104.2277,25.9299,6.9713,9.7195,3.599,4.6015,4.7102,16.7993,2.1142,10.1783
2018000202,2018年2月,95.8997,24.3165,6.9284,9.9877,3.0256,2.9902,4.3634,16.5546,2.7758,9.5559,-,96.4786,24.4142,7.128,10.1708,3.1484,3.1083,4.4389,16.4559,2.5304,9.7112
2018000303,2018年3月,110.011,26.9794,7.3726,9.108,3.7665,4.5172,4.9185,19.2743,4.6517,11.4898,-,111.0101,27.4739,7.585,9.2467,3.9564,4.6189,5.0036,19.1403,4.2404,11.6766
2018000404,2018年4月,106.3471,25.6006,7.7392,7.8248,3.6539,4.0917,4.3745,16.1072,8.3203,10.8415,-,107.4214,26.3381,7.954,7.9038,3.8181,4.0999,4.4321,16.0271,7.5433,10.9955
2018000505,2018年5月,102.2503,27.1314,7.6971,7.1281,3.7199,4.1995,4.6938,17.1973,3.3254,11.0575,-,103.179,27.9129,7.9107,7.1352,3.8952,4.208,4.7461,17.0608,3.0148,11.2032
2018000606,2018年6月,97.1413,25.729,8.1811,6.0543,4.1041,3.7382,4.5785,16.081,2.287,10.0533,-,98.1226,26.5796,8.4081,6.0242,4.293,3.7646,4.6247,15.9534,2.0753,10.1961
2018000707,2018年7月,101.6745,27.1321,8.1592,6.042,5.1758,3.832,4.763,17.2489,2.3948,10.5111,-,102.5979,27.8564,8.3857,6.0239,5.4311,3.9587,4.8111,17.0444,2.1732,10.6711
2018000808,2018年8月,104.8929,28.7526,7.6009,6.6941,4.3558,2.9806,4.6858,18.3171,2.4103,11.7971,-,105.1031,29.1905,7.8198,6.6608,4.5899,3.121,4.6999,18.0642,2.1872,11.6803
2018000909,2018年9月,100.0937,26.2608,7.2819,6.7085,3.6304,3.2256,4.4043,17.4971,4.7627,10.6209,-,100.1939,26.526,7.4917,6.6421,3.8296,3.2256,4.4131,17.3239,4.3218,10.7065
2018001010,2018年10月,105.9109,27.2343,8.7852,6.6822,3.9088,4.0194,4.9181,17.8546,5.4323,10.8646,-,105.5941,27.5372,9.0289,6.5641,4.0844,3.9994,4.9329,17.5734,4.9295,10.8537
2018001111,2018年11月,102.9705,26.4262,8.2129,6.4134,4.1065,4.6242,5.0056,18.2308,2.7098,10.3747,-,102.9705,26.938,8.4408,6.2631,4.2776,4.5875,5.0257,18.0146,2.459,10.4059
2018001212,2018年12月,118.4518,34.0434,9.1784,7.6863,5.0732,5.008,5.1611,17.5834,2.7353,12.5846,-,118.9275,34.8805,9.4331,7.4989,5.2572,5.0281,5.187,17.5133,2.4821,12.6225
2019000101,2019年1月,105.1243,25.6003,7.4068,9.2719,3.7986,4.5085,4.6441,16.2854,2.7853,10.5067,-,105.4406,25.9638,7.6123,9.0193,3.9364,4.6963,4.6721,16.2691,2.5275,10.6022
2019000202,2019年2月,97.9892,24.3038,6.9829,9.9611,3.263,3.1568,4.5431,17.4017,2.9122,10.1623,-,98.284,24.7745,7.1693,9.6429,3.3674,3.2815,4.5705,17.4017,2.6426,10.1827
2019000303,2019年3月,113.4541,27.2339,7.6724,9.1375,3.9481,4.4863,4.9635,21.0719,4.8505,11.5108,-,113.7955,27.8465,7.8853,8.82,4.0871,4.5825,4.9884,20.9879,4.3976,11.592
2019000404,2019年4月,107.5343,26.3587,7.3241,7.9782,3.5962,3.9991,4.6982,17.2724,7.7126,11.4122,-,107.5343,26.9241,7.4965,7.7233,3.6998,4.0031,4.7218,17.2208,6.9545,11.3554
2019000505,2019年5月,107.411,27.4002,8.4543,7.7659,4.2249,4.1426,4.6326,17.7457,3.9971,11.5606,-,107.411,27.9593,8.6445,7.5324,4.3112,4.1551,4.6559,17.675,3.6043,11.5606
2019000606,2019年6月,101.1177,26.4847,8.3636,6.4038,4.4234,3.9235,4.8914,17.0155,2.3861,10.9103,-,101.3203,26.9701,8.5517,6.2355,4.5461,3.9511,4.916,17.101,2.1515,10.8994
2019000707,2019年7月,103.1558,27.3703,8.0526,6.0057,5.0115,3.6737,4.9889,17.9537,2.4963,11.0205,-,103.4662,27.8437,8.2169,5.8707,5.1719,3.7796,5.0089,17.9537,2.2509,11.0648
2019000808,2019年8月,106.2466,29.4617,7.4442,6.1485,5.0044,3.189,5.0414,18.0586,2.3034,12.0907,-,106.1405,29.9103,7.5961,6.0398,5.1538,3.3184,5.0616,18.0406,2.077,11.8304
2019000909,2019年9月,109.2499,27.154,8.1914,6.5653,5.7938,3.5855,5.4439,19.1057,4.7499,11.6635,-,109.0318,27.3179,8.3586,6.4874,5.9485,3.5855,5.4712,19.221,4.2792,11.6403
2019001010,2019年10月,99.0347,26.2489,7.3714,6.3334,3.3966,3.6205,4.7638,16.1998,4.6417,10.2291,-,98.542,26.3015,7.3861,6.2707,3.4034,3.5635,4.7448,16.1032,4.5686,9.9893
2019001111,2019年11月,99.29,26.7348,7.6684,6.4436,3.8093,4.4011,5.1472,16.4298,2.4684,10.5604,-,98.6978,26.8422,7.6761,6.2864,3.8208,4.3148,5.1318,16.3156,2.4295,10.3533
2019001212,2019年12月,114.9971,33.7165,8.3477,7.6363,4.7928,4.5058,5.3579,17.356,2.4513,12.4402,-,114.425,33.9201,8.356,7.45,4.8217,4.4611,5.3579,17.1672,2.4127,12.1487
2020000101,2020年1月,102.4817,25.7105,7.5917,8.6704,3.4397,4.2564,4.8036,15.6432,2.3341,10.5798,19.452,101.8705,25.6592,7.5993,8.4342,3.4535,4.37,4.794,15.3969,2.2772,10.4958
2020000202,2020年2月,98.6242,25.4639,7.8085,9.2634,3.6202,3.0033,4.7903,17.3818,2.4759,9.5499,15.2677,98.3292,25.5662,7.8163,9.0375,3.6531,3.0803,4.7807,17.1757,2.4179,9.4647
2020000303,2020年3月,104.7993,26.8934,7.7714,8.9512,3.8628,3.4155,4.8946,19.0434,4.2387,9.0688,16.6594,104.3818,27.0286,7.7792,8.7414,3.9097,3.4361,4.8751,18.8736,4.1393,8.9436
2020000404,2020年4月,94.95,24.6935,7.7682,8.3807,3.4457,1.8123,4.5155,15.1372,7.5599,7.7392,13.8974,94.7605,24.6197,7.7605,8.2568,3.4735,1.7891,4.5065,15.2901,7.5979,7.6024
2020000505,2020年5月,89.9164,26.0465,7.1195,7.2888,4.4933,2.6762,4.4188,13.5932,3.239,7.5656,13.4751,89.7369,25.9686,7.1124,7.2309,4.5114,2.6471,4.41,13.7862,3.2685,7.4099
