,,,,,,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
,,,,,,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
,,,,,,,月,消費支出（名目）,食料（名目）,住居（名目）,光熱・水道（名目）,家具・家事用品（名目）,被服及び履物（名目）,保健医療（名目）,交通・通信（名目）,教育（名目）,教養娯楽（名目）,その他の消費支出（名目）,消費支出（実質）,食料（実質）,住居（実質）,光熱・水道（実質）,家具・家事用品（実質）,被服及び履物（実質）,保健医療（実質）,交通・通信（実質）,教育（実質）,教養娯楽（実質）
00401,201701B     ,            ,  ,,1,,2017年1月,104.3,25.6,6.6,8.8,3.7,4.7,4.4,16.2,2.6,10.2,-,106.6,26.3,6.8,9.4,3.8,4.9,4.6,16.3,2.4,10.4
00401,201702B     ,            ,  ,,1,,2017年2月,95.7,23.9,7.2,9.3,3.1,3.0,4.6,16.1,3.1,9.7,-,98.0,24.7,7.5,9.9,3.1,3.2,4.7,16.3,2.9,9.9
00401,201703B     ,            ,  ,,1,,2017年3月,112.9,27.1,7.8,8.8,3.6,4.4,4.7,21.4,4.5,11.4,-,115.4,28.1,8.1,9.3,3.8,4.5,4.9,21.6,4.1,11.7
00401,201704B     ,            ,  ,,1,,2017年4月,108.8,26.2,7.6,8.2,3.4,4.3,4.6,17.4,7.6,11.3,-,110.8,27.1,7.8,8.5,3.5,4.4,4.7,17.5,6.9,11.5
00401,201705B     ,            ,  ,,1,,2017年5月,103.8,27.5,7.9,7.1,3.9,4.3,4.6,17.1,3.1,10.9,-,105.6,28.5,8.1,7.3,4.0,4.3,4.7,17.1,2.9,11.1
00401,201706B     ,            ,  ,,1,,2017年6月,98.2,26.1,7.9,6.3,4.0,3.7,4.8,16.6,2.0,10.4,-,100.0,27.0,8.2,6.5,4.1,3.8,4.9,16.7,1.8,10.6
00401,201707B     ,            ,  ,,1,,2017年7月,102.9,27.6,8.2,6.0,5.3,4.2,4.6,17.6,2.1,10.8,-,105.0,28.7,8.4,6.2,5.5,4.4,4.7,17.6,2.0,11.0
00401,201708B     ,            ,  ,,1,,2017年8月,104.0,29.1,7.5,6.7,4.5,3.1,4.5,16.6,2.0,12.4,-,105.8,30.2,7.7,6.9,4.7,3.2,4.6,16.7,1.8,12.5
