産   業,,,,,,,毎月勤労統計調査全国調査結果原表,,,,,,,,,
TL,,,調　査　産　業　計,,令和 7年,12月分,,,,,,,（ 確 報 ）,確  原  表　―,,1頁
,,,,,,,,,,,,,,,,
"規

模",,"形

態",常　　　用　　　労　　　働　　　者　　　数　　　　,,,,,"出　勤
日　数",実　労　働　時　間　数,,,現　　　　金　　　　給　　　　与　　　　額,,,,
,性,,前調査期間末,本月中の増加,本月中の減少,本調査期間末,,,総    数,所定内,所定外,総　　　　額,"きまって支
給する給与",所定内給与,超過労働給与,"特別に支払
われた給与"
,,,,,,,パートタイム労働者数,,,,,,,,,
,,,人,人,人,人,人,日,時間,時間,時間,円,円,円,円,円
T,T,T,"51,865,541 ","759,781 ","706,691 ","51,918,631 ","16,357,545 ",17.4 ,134.6 ,124.7 ,9.9 ,"632,196 ","291,279 ","270,719 ","20,560 ","340,917 "
,M,T,"26,733,372 ","334,818 ","331,509 ","26,736,681 ","4,770,303 ",18.2 ,149.8 ,135.9 ,13.9 ,"820,261 ","361,335 ",,,"458,926 "
,F,T,"25,132,169 ","424,963 ","375,182 ","25,181,950 ","11,587,242 ",16.5 ,118.6 ,112.9 ,5.7 ,"432,334 ","216,829 ",,,"215,505 "
,,N,"35,566,977 ","330,348 ","342,744 ","35,561,086 ",-,19.2 ,160.2 ,146.8 ,13.4 ,"861,480 ","373,212 ","344,794 ","28,418 ","488,268 "
,,P,"16,298,564 ","429,433 ","363,947 ","16,357,545 ",-,13.5 ,79.0 ,76.7 ,2.3 ,"132,794 ","112,822 ","109,377 ","3,445 ","19,972 "
,,,,,,,,,,,,,,,,
0,T,T,"31,429,060 ","402,013 ","386,709 ","31,444,364 ","7,910,685 ",17.7 ,140.4 ,128.8 ,11.6 ,"759,081 ","327,349 ","301,411 ","25,938 ","431,732 "
,M,T,"17,101,027 ","180,780 ","187,326 ","17,094,481 ","2,399,263 ",18.2 ,152.4 ,137.0 ,15.4 ,"956,236 ","395,717 ",,,"560,519 "
,F,T,"14,328,033 ","221,233 ","199,383 ","14,349,883 ","5,511,422 ",17.0 ,126.2 ,119.1 ,7.1 ,"523,994 ","245,827 ",,,"278,167 "
,,N,"23,531,914 ","213,322 ","213,782 ","23,533,679 ",-,18.8 ,158.6 ,144.1 ,14.5 ,"963,224 ","394,671 ","361,546 ","33,125 ","568,553 "
,,P,"7,897,146 ","188,691 ","172,927 ","7,910,685 ",-,14.2 ,86.2 ,83.2 ,3.0 ,"151,271 ","126,904 ","122,363 ","4,541 ","24,367 "
,,,,,,,,,,,,,,,,
1,T,T,"3,604,570 ","44,452 ","46,955 ","3,602,067 ","441,501 ",17.6 ,146.6 ,132.1 ,14.5 ,"1,166,489 ","438,338 ","393,967 ","44,371 ","728,151 "
,M,T,"2,174,849 ","20,066 ","22,512 ","2,172,403 ","137,489 ",18.0 ,154.0 ,136.5 ,17.5 ,"1,421,914 ","511,869 ",,,"910,045 "
,F,T,"1,429,721 ","24,386 ","24,443 ","1,429,664 ","304,012 ",17.1 ,135.4 ,125.4 ,10.0 ,"778,156 ","326,546 ",,,"451,610 "
,,N,"3,164,480 ","26,112 ","30,396 ","3,160,566 ",-,18.2 ,155.0 ,138.9 ,16.1 ,"1,304,390 ","478,870 ","429,394 ","49,476 ","825,520 "
,,P,"440,090 ","18,340 ","16,559 ","441,501 ",-,13.5 ,87.0 ,83.4 ,3.6 ,"177,107 ","147,540 ","139,800 ","7,740 ","29,567 "
,,,,,,,,,,,,,,,,
3,T,T,"3,641,492 ","43,766 ","45,666 ","3,639,592 ","680,836 ",17.6 ,142.6 ,130.3 ,12.3 ,"875,909 ","367,797 ","335,260 ","32,537 ","508,112 "
,M,T,"1,989,790 ","19,893 ","20,803 ","1,988,880 ","210,797 ",17.9 ,151.7 ,135.9 ,15.8 ,"1,101,546 ","441,700 ",,,"659,846 "
,F,T,"1,651,702 ","23,873 ","24,863 ","1,650,712 ","470,039 ",17.1 ,131.7 ,123.6 ,8.1 ,"604,068 ","278,761 ",,,"325,307 "
,,N,"2,962,528 ","27,325 ","30,833 ","2,958,756 ",-,18.3 ,154.9 ,140.6 ,14.3 ,"1,038,068 ","419,867 ","381,293 ","38,574 ","618,201 "
,,P,"678,964 ","16,441 ","14,833 ","680,836 ",-,14.3 ,89.4 ,85.8 ,3.6 ,"169,786 ","141,060 ","134,814 ","6,246 ","28,726 "
,,,,,,,,,,,,,,,,
4,T,T,"7,246,062 ","88,218 ","92,621 ","7,241,659 ","1,122,337 ",17.6 ,144.6 ,131.2 ,13.4 ,"1,020,453 ","402,887 ","364,464 ","38,423 ","617,566 "
,M,T,"4,164,639 ","39,959 ","43,315 ","4,161,283 ","348,286 ",18.0 ,152.9 ,136.2 ,16.7 ,"1,268,821 ","478,338 ",,,"790,483 "
,F,T,"3,081,423 ","48,259 ","49,306 ","3,080,376 ","774,051 ",17.1 ,133.4 ,124.4 ,9.0 ,"684,853 ","300,935 ",,,"383,918 "
,,N,"6,127,008 ","53,437 ","61,229 ","6,119,322 ",-,18.3 ,154.9 ,139.7 ,15.2 ,"1,175,619 ","450,341 ","406,136 ","44,205 ","725,278 "
,,P,"1,119,054 ","34,781 ","31,392 ","1,122,337 ",-,14.0 ,88.5 ,84.9 ,3.6 ,"172,666 ","143,609 ","136,775 ","6,834 ","29,057 "
,,,,,,,,,,,,,,,,
5,T,T,"11,374,675 ","142,065 ","142,034 ","11,374,706 ","2,845,185 ",17.6 ,140.5 ,128.9 ,11.6 ,"746,867 ","327,674 ","301,492 ","26,182 ","419,193 "
,M,T,"6,198,266 ","67,719 ","69,169 ","6,196,816 ","888,037 ",18.2 ,152.1 ,136.7 ,15.4 ,"942,185 ","395,507 ",,,"546,678 "
,F,T,"5,176,409 ","74,346 ","72,865 ","5,177,890 ","1,957,148 ",17.0 ,126.7 ,119.6 ,7.1 ,"513,052 ","246,471 ",,,"266,581 "
,,N,"8,530,658 ","75,614 ","78,330 ","8,529,521 ",-,18.7 ,158.0 ,143.6 ,14.4 ,"945,252 ","393,271 ","360,205 ","33,066 ","551,981 "
