産   業,,,,,,,毎月勤労統計調査全国調査結果原表,,,,,,,,,
TL,,,調　査　産　業　計,,令和 7年,C1月分,,,,,,,（ 確 報 ）,確  原  表　―,,1頁
,,,,,,,,,,,,,,,,
"規

模",,"形

態",常　　　用　　　労　　　働　　　者　　　数　　　　,,,,,"出　勤
日　数",実　労　働　時　間　数,,,現　　　　金　　　　給　　　　与　　　　額,,,,
,性,,前調査期間末,本月中の増加,本月中の減少,本調査期間末,,,総    数,所定内,所定外,総　　　　額,"きまって支
給する給与",所定内給与,超過労働給与,"特別に支払
われた給与"
,,,,,,,パートタイム労働者数,,,,,,,,,
,,,人,人,人,人,人,日,時間,時間,時間,円,円,円,円,円
T,T,T,"51,515,104 ","1,022,791 ","971,642 ","51,566,253 ","16,144,122 ",17.4 ,135.1 ,125.3 ,9.8 ,"355,941 ","287,427 ","267,532 ","19,895 ","68,514 "
,M,T,"26,617,777 ","485,145 ","466,761 ","26,636,161 ","4,680,431 ",18.3 ,150.0 ,136.3 ,13.7 ,"449,528 ","356,565 ",,,"92,963 "
,F,T,"24,897,328 ","537,646 ","504,881 ","24,930,093 ","11,463,691 ",16.5 ,119.1 ,113.4 ,5.7 ,"255,918 ","213,534 ",,,"42,384 "
,,N,"35,396,347 ","521,232 ","500,415 ","35,422,131 ",-,19.2 ,160.5 ,147.3 ,13.2 ,"465,923 ","368,111 ","340,634 ","27,477 ","97,812 "
,,P,"16,118,757 ","501,559 ","471,227 ","16,144,122 ",-,13.5 ,79.1 ,76.8 ,2.3 ,"114,527 ","110,322 ","107,071 ","3,251 ","4,205 "
,,,,,,,,,,,,,,,,
0,T,T,"31,301,658 ","566,950 ","551,946 ","31,316,662 ","7,907,875 ",17.8 ,141.1 ,129.6 ,11.5 ,"408,035 ","322,301 ","297,225 ","25,076 ","85,734 "
,M,T,"17,061,513 ","281,847 ","279,572 ","17,063,788 ","2,379,741 ",18.3 ,153.1 ,137.9 ,15.2 ,"502,269 ","389,696 ",,,"112,573 "
,F,T,"14,240,146 ","285,104 ","272,374 ","14,252,876 ","5,528,133 ",17.1 ,126.6 ,119.6 ,7.0 ,"295,174 ","241,584 ",,,"53,590 "
,,N,"23,395,248 ","336,597 ","324,046 ","23,408,788 ",-,19.0 ,159.7 ,145.3 ,14.4 ,"502,431 ","389,365 ","357,253 ","32,112 ","113,066 "
,,P,"7,906,410 ","230,353 ","227,900 ","7,907,875 ",-,14.2 ,85.9 ,83.0 ,2.9 ,"128,660 ","123,817 ","119,566 ","4,251 ","4,843 "
,,,,,,,,,,,,,,,,
1,T,T,"3,584,452 ","68,897 ","65,954 ","3,587,395 ","440,899 ",17.9 ,148.9 ,134.2 ,14.7 ,"578,446 ","432,779 ","388,836 ","43,943 ","145,667 "
,M,T,"2,169,467 ","35,072 ","34,358 ","2,170,181 ","135,015 ",18.3 ,156.6 ,138.8 ,17.8 ,"687,674 ","504,870 ",,,"182,804 "
,F,T,"1,414,984 ","33,824 ","31,596 ","1,417,212 ","305,885 ",17.3 ,137.3 ,127.2 ,10.1 ,"411,081 ","322,318 ",,,"88,763 "
,,N,"3,143,769 ","46,403 ","43,803 ","3,146,496 ",-,18.5 ,157.4 ,141.1 ,16.3 ,"637,768 ","472,572 ","423,537 ","49,035 ","165,196 "
,,P,"440,682 ","22,493 ","22,151 ","440,899 ",-,13.8 ,88.9 ,85.4 ,3.5 ,"155,169 ","148,847 ","141,238 ","7,609 ","6,322 "
,,,,,,,,,,,,,,,,
3,T,T,"3,589,620 ","67,274 ","66,053 ","3,590,841 ","681,594 ",17.8 ,143.9 ,131.6 ,12.3 ,"463,273 ","362,053 ","330,179 ","31,874 ","101,220 "
,M,T,"1,962,689 ","32,785 ","32,551 ","1,962,923 ","208,886 ",18.2 ,153.3 ,137.5 ,15.8 ,"568,244 ","434,990 ",,,"133,254 "
,F,T,"1,626,930 ","34,489 ","33,502 ","1,627,917 ","472,707 ",17.3 ,132.6 ,124.5 ,8.1 ,"336,669 ","274,085 ",,,"62,584 "
,,N,"2,908,359 ","45,119 ","44,477 ","2,909,247 ",-,18.6 ,156.5 ,142.2 ,14.3 ,"537,965 ","414,339 ","376,441 ","37,898 ","123,626 "
,,P,"681,260 ","22,155 ","21,576 ","681,594 ",-,14.3 ,90.0 ,86.4 ,3.6 ,"144,429 ","138,857 ","132,702 ","6,155 ","5,572 "
,,,,,,,,,,,,,,,,
4,T,T,"7,174,071 ","136,171 ","132,006 ","7,178,236 ","1,122,493 ",17.8 ,146.4 ,132.9 ,13.5 ,"520,825 ","397,395 ","359,491 ","37,904 ","123,430 "
,M,T,"4,132,157 ","67,857 ","66,909 ","4,133,105 ","343,901 ",18.2 ,155.0 ,138.2 ,16.8 ,"630,950 ","471,680 ",,,"159,270 "
,F,T,"3,041,915 ","68,314 ","65,097 ","3,045,132 ","778,592 ",17.3 ,134.8 ,125.8 ,9.0 ,"371,291 ","296,527 ",,,"74,764 "
